keyword,frequency
in,238
to,231
for,198
Fix,140
the,111
of,106
Add,83
a,75
and,74
when,63
with,61
from,53
on,51
not,42
support,40
fix,37
is,35
plugin,32
name,31
file,30
be,26
Make,26
Allow,24
Fixed,24
Added,24
Remove,22
Support,22
type,22
by,21
build,21
method,21
class,20
Use,20
project,19
-,19
as,19
that,19
Update,18
test,18
[Fernflower],18
option,17
dialog,17
console,17
code,17
Gradle,17
extension,17
instead,17
files,16
classes,16
an,16
leak,16
inspection,15
if,15
version,14
branch,14
window,14
add,14
use,14
added,14
more,14
make,13
work,13
allow,13
after,13
should,13
action,13
typo,13
Improve,13
memory,13
commit,12
path,12
using,12
import,12
new,12
New,11
line,11
error,11
point,11
modules,11
Maven,10
field,10
message,10
Change,10
first,10
parameter,10
check,10
Python,10
Don't,10
library,10
module,10
default,9
color,9
settings,9
are,9
menu,9
tool,9
doesn't,9
properties,9
command,9
elements,9
git,9
bug,9
UI,9
into,9
Kotlin,9
does,9
Move,9
custom,9
usages,9
based,9
python,9
ability,9
exception,9
performance,9
text,8
context,8
list,8
ant,8
Groovy,8
inner,8
task,8
multiple,8
Java,8
public,8
all,8
root,8
changes,8
log,8
set,8
one,8
package,8
XML,8
creation,8
missing,8
element,8
being,8
tests,8
no,7
tree,7
types,7
always,7
popup,7
generated,7
Ant,7
Introduce,7
properly,7
resolve,7
config,7
constructor,7
parameters,7
view,7
comments,7
Fixes,7
removed,7
annotation,7
time,7
used,7
mode,7
API,7
call,7
language,7
Create,7
methods,7
Do,7
Ignore,7
Prevent,7
relative,7
null,7
Avoid,7
/,6
names,6
change,6
remove,6
usage,6
only,6
while,6
prevent,6
duplicate,6
deprecated,6
maven,6
unused,6
dependencies,6
Expose,6
refactoring,6
redundant,6
history,6
plugins,6
update,6
Search,6
pattern,6
Git,6
fixes,6
property,6
completion,6
external,6
configurable,6
Close,6
via,6
override,6
issues,6
provide,6
or,6
Merge,6
source,6
directory,6
expression,6
renaming,6
incorrect,6
avoid,6
gradle,6
configuration,6
imports,6
empty,5
When,5
nodes,5
have,5
extra,5
link,5
integration,5
explicit,5
Build,5
right,5
filters,5
tabs,5
->,5
improvements,5
Console,5
copy,5
ignored,5
show,5
format,5
Find,5
--,5
also,5
versions,5
modify,5
opening,5
against,5
during,5
string,5
will,5
out,5
references,5
Correctly,5
get,5
run,5
there,5
user,5
than,5
level,5
Show,5
nested,5
projects,5
Projects,5
issue,5
native,5
location,5
values,5
image,5
case,5
disable,5
sources,5
Replace,5
JavaDoc,5
function,5
system,5
fixed,5
focus,5
scope,5
annotations,5
debugger,5
variable,5
YouTrack,5
Rename,5
same,5
roots,5
it,5
Synchronize,5
order,5
updates,5
scheme,4
displayed,4
several,4
too,4
Updated,4
IntelliJ,4
URL,4
+,4
editor,4
value,4
moved,4
Adds,4
scripts,4
at,4
highlight,4
highlighting,4
problem,4
shortcut,4
some,4
folding,4
Windows,4
svn,4
wrapper,4
SSH,4
agent,4
...,4
few,4
decompiling,4
Custom,4
scala,4
separate,4
interface,4
Refactor,4
better,4
cast,4
java,4
icon,4
notification,4
single,4
key,4
info,4
creating,4
environment,4
variables,4
static,4
up,4
toolbar,4
hierarchy,4
checking,4
result,4
VCS,4
before,4
loading,4
options,4
additional,4
pull,4
request,4
#1,4
JetBrains/master,4
structure,4
File,4
setting,4
Preserve,4
IDE,4
Decompiler,4
postfix,4
template,4
double,4
statement,4
other,4
languages,4
Class,4
replace,4
access,4
Minor,4
comparison,4
inside,4
index,4
description,4
match,4
alternative,4
resources,4
In,4
jars,4
output,4
return,4
frame,4
current,4
implicit,4
…,4
content,4
component,4
args,4
compatible,4
NPE,4
super,4
can,4
Import,4
uses,4
[external-system],4
2,3
rebase,3
"No,3
Settings,3
applying,3
dark,3
ColorIde,3
then,3
incorrectly,3
9,3
specify,3
input,3
filtering,3
local,3
$,3
target,3
items,3
without,3
move,3
hg4idea,3
position,3
between,3
replaced,3
View,3
expand,3
marked,3
invalid,3
generic,3
svn4idea,3
which,3
different,3
Some,3
analysis,3
comparisons,3
prefix,3
Improved,3
short,3
repository,3
External,3
include,3
lines,3
Possibility,3
Issue,3
Guard,3
spaces,3
Pycharm,3
skeletons,3
quick,3
available,3
String,3
select,3
keyword,3
extensions,3
detect,3
any,3
enabled,3
loop,3
passing,3
trailing,3
results,3
special,3
characters,3
checkbox,3
minor,3
filename,3
[Decompiler],3
installed,3
All,3
dependency,3
feature,3
removing,3
comment,3
refs,3
debugging,3
JNA,3
varargs,3
fsNotifier:,3
end,3
storage,3
correct,3
display,3
reference,3
keys,3
constants,3
navigation,3
original,3
Refactored,3
actions,3
sending,3
Typo,3
tracking,3
implementation,3
views,3
Optimize,3
Task,3
stub,3
Sort,3
width,3
points,3
definition,3
throw,3
debug,3
fails,3
progress,3
Implemented,3
HEAD,3
style,3
switch,3
icons,3
Pass,3
Test,3
boolean,3
compilation,3
Delete,3
messages,3
resource,3
2.6,3
subclasses,3
introduced,3
aware,3
way,3
reformatting.,3
Get,3
flavor,3
through,3
Recognize,3
Respect,3
Ensure,3
literals,3
race,3
decompiled,3
bar,3
pydev,3
directly,3
Simplify,3
colors,3
escape,3
closing,3
Provide,3
stack,3
unnecessary,3
find,3
More,3
Reduce,3
handling,3
init,3
exceptions,3
UnnecessaryUnicodeEscapeInspection,3
enum,3
community,3
SVN,3
constant,3
newline,3
documentation,3
many,3
typing,3
events,3
initialization,3
read,3
hand-written,3
joining,3
comparing,3
git4idea:,2
"interactive",2
5,2
this,2
merge,2
possible,2
IDEA-88520,2
