id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks
1,Usability issue with external editors (1GE6IRL),CLOSED FIXED,None,Platform,Team,2.0,P3 normal,---,James Moody,,,,,,
2,Opening repository resources doesn't honor type (1GE6I1Q),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.0 M6,James Moody,,,,,5330,
3,Sync does not indicate deletion (1GIEN83),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.0 M6,James Moody,,,,,,309645
4,need better error message if catching up over read-only resource (1GF69TF),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,---,Michael Valenta,,,,,,
5,ISharingManager sharing API inconsistent (1GAUL8H),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
6,API - IResource.setLocal has problems (1G5TC8L),RESOLVED INVALID,None,Platform,Team,2.0,P5 normal,---,Kevin McGuire,,,,,,23
7,[Team API] move/copy semantics not preserved for VCM/targets (1G5RAC5),RESOLVED WONTFIX,None,Platform,Team,2.0,P5 normal with 1 vote,---,Platform-VCM-Inbox,,,,,,
8,how can we support,RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
9,VCM Implementation - disallow root resource to be passed (1G8436G),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
10,API - VCM event notification (1G8G6RR),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
11,API: ISharingManager::load mapping vcm projects to workspace projects (1G8U50U),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
12,Manage/unmanage support and policies (1GALAEG),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
13,CC Discussion: local versioning (1GAT3PL),VERIFIED FIXED,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
14,README - Cannot run CVS command line client in Eclipse generated workspace (1GB0CJU),RESOLVED WONTFIX,None,Platform,Team,2.0,P3 normal,---,Jean-Michel Lemieux,,,,,,
15,SSH investigation (1GCEDG2),RESOLVED INVALID,None,Platform,Team,2.0,P3 normal,---,Kevin McGuire,,,,,,
16,auto-merge button (1GBBEBB),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,---,James Moody,,,,,,
17,look at gender change cases (1GBCX61),RESOLVED FIXED,None,Platform,Team,2.0,P5 normal,2.0 M6,Jean-Michel Lemieux,,,,,,
