id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
550000,PDE quickfix creates invalid @Since tag,VERIFIED FIXED,None,PDE,API Tools,4.12,P3 normal,4.13 M3,Vikas Chandra,,,,,,,2019-08-13 05:51 EDT by Lars Vogel,2019-08-20 06:06 EDT,1 user
550001,Grant access to projects storage service to the Jenkins instance of project TEA,CLOSED DUPLICATE of bug 549981,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2019-08-13 06:14 EDT by Markus Duft,2019-08-13 06:20 EDT,2 users
550002,Add relation information to REST-API,ASSIGNED,None,MDMBL,General,unspecified,P3 major,5.1.0,Matthias Koller,,,,,,,2019-08-13 06:23 EDT by Matthias Koller,2019-08-28 02:51 EDT,0 users
550003,Provide platform independent plug-in to set the OS dark theme,NEW,None,Platform,UI,4.13,P3 normal,---,Platform-UI-Inbox,,,,,444560 546859,,2019-08-13 06:56 EDT by Lars Vogel,2019-10-14 01:14 EDT,6 users
550004,"Inline method refacting reports ""Inaccurate references to method found""",NEW,None,JDT,UI,4.12,P3 normal,---,JDT-UI-Inbox,,,,,,,2019-08-13 08:01 EDT by Lars Vogel,2019-08-13 18:26 EDT,2 users
550005,Call Hierarchy incorrectly includes binary artifacts,VERIFIED WORKSFORME,None,JDT,Core,4.12,P3 normal,4.14 M1,Vikas Chandra,,,,,,,2019-08-13 08:10 EDT by Lars Vogel,2019-10-09 06:09 EDT,3 users
550006,Run APIAnalysisBuilder only when the contents of the preference file has changed,NEW,None,PDE,API Tools,4.13,P3 normal,---,Vikas Chandra,,,4.14,,,,2019-08-13 08:14 EDT by Vikas Chandra,2019-08-14 01:08 EDT,0 users
550007,Run PDE compiler only when the contents of the preference file has changed,NEW,None,PDE,UI,4.13,P3 normal,---,Vikas Chandra,,,4.14,,,,2019-08-13 08:15 EDT by Vikas Chandra,2019-08-14 01:08 EDT,0 users
550008,UI freezes in PluginsView,VERIFIED FIXED,None,PDE,UI,4.12,P3 normal,4.13 M3,Lars Vogel,,,,performance,,,2019-08-13 08:16 EDT by Lars Vogel,2019-08-21 07:09 EDT,2 users
550009,UI freeze in org.eclipse.ui.dialogs.FilteredTree,RESOLVED FIXED,None,Platform,UI,4.13,P3 normal,4.13 M3,Lars Vogel,,,,,550023,550126 550127,2019-08-13 08:47 EDT by Lars Vogel,2019-08-20 02:02 EDT,3 users
550010,CPD dialog should have a consistent usage of setUseHashlookup for menu and action tree viewer,RESOLVED FIXED,None,Platform,UI,4.13,P3 normal,4.13 M3,Lars Vogel,,,,,,,2019-08-13 08:56 EDT by Lars Vogel,2019-08-13 10:14 EDT,2 users
550011,"OpenJ9: Git failing on master, builds blocked",CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 critical,---,CI Admin Inbox,,,,,,,2019-08-13 09:05 EDT by Adam Brousseau,2019-08-20 08:56 EDT,3 users
550012,OpenJ9 Badge plugin not working,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2019-08-13 09:14 EDT by Adam Brousseau,2019-08-13 21:09 EDT,2 users
550013,OpenJ9 Pull requests flooded with comments from Jenkins,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2019-08-13 09:27 EDT by Adam Brousseau,2019-08-14 09:31 EDT,2 users
550014,Cant import existing local git project,NEW,None,EGit,UI,5.4,P3 normal,---,Project Inbox,,,,,,,2019-08-13 09:27 EDT by Luis Illig,2019-08-14 05:00 EDT,3 users
