id,title,status,importance
80000,nest code unfold need,VERIFIED FIXED,P2 major
80001,problem cannot find execution,RESOLVED INVALID,P3 normal
80002,run server could find client launch selection,CLOSED FIXED,P3 major
80003,cvs sync honor,RESOLVED DUPLICATE of bug 78695,P3 normal
80004,cvs compare show proper differences,RESOLVED WORKSFORME,P3 minor
80005,documentation responsible person build process,CLOSED FIXED,P3 normal
80006,delete templates,RESOLVED FIXED,P3 normal
80007,hyades plugins use osgi framework instead plugin descriptor runtime,CLOSED FIXED,P3 normal
80008,debug error nullpointerexception,RESOLVED DUPLICATE of bug 68413,P3 major
80009,update plugins use osgi framework instead plugin descriptor runtime,CLOSED FIXED,P3 normal
80010,annotations class highlight errors editor,VERIFIED DUPLICATE of bug 80014,P3 enhancement
80011,quick fix add generate serial version uid,RESOLVED FIXED,P3 normal
80012,annotations recongnized extend interface,VERIFIED DUPLICATE of bug 80014,P3 normal
80013,instrument data collection engine log native common base,CLOSED DUPLICATE of bug 93155,P1 normal
80014,ignore annotations,VERIFIED FIXED,P3 blocker
80015,default charset javascript,CLOSED FIXED,P3 normal
80016,need convenience function create core,CLOSED FIXED,P3 normal
80017,long string show cheesey detail pane,RESOLVED DUPLICATE of bug 10712,P3 normal
80018,need factory create,CLOSED FIXED,P3 normal
80019,new element wizards honor compiler compliance,RESOLVED WORKSFORME,P3 normal
80020,open type dialog enable class find,VERIFIED FIXED,P3 normal
80021,cce,VERIFIED FIXED,P3 normal
80022,ideas make build faster,RESOLVED WONTFIX,P3 normal
80023,usability field rename force preview,RESOLVED WONTFIX,P3 enhancement
80024,allow workbenchadvisor control location persist settings,ASSIGNED,P3 normal
80025,preference search improvements,CLOSED FIXED,P3 normal
80026,api need,NEW,P3 enhancement
80027,entry ignore file dir already cvs repository,RESOLVED DUPLICATE of bug 79869,P3 normal
80028,ambiguous method error javac succeed,VERIFIED FIXED,P3 normal
80029,instrument data collection log message use resource bundle message,CLOSED WONTFIX,P3 normal
80030,behavior call invalid arguments,RESOLVED WORKSFORME,P3 minor
80031,bugzilla prevent change priorities,RESOLVED FIXED,P3 normal
80032,expressions change value watch expressions,RESOLVED WONTFIX,P3 normal
80033,swt browser display,RESOLVED FIXED,P3 normal with 11 votes
80034,expressions view display correct elements array,RESOLVED FIXED,P3 normal
80035,add perspective key bind support team cvs perspectives,RESOLVED FIXED,P3 normal
80036,emptystackexception compilationunitsorter,VERIFIED FIXED,P3 normal
