1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-04-20T09:34:37Z,discuss,with best regards
2019-04-20T09:34:37Z,discuss,Jens Glathe
2019-04-28T20:07:47Z,discuss,idea.log
2019-05-01T18:08:43Z,discuss,"Status update: I got PyCharm CE to run with patched NativeFileWatcher* classes now (yeah!), however the ant build on the build machine keeps crapping out with some corrupted .class file or other. So I have PyCharm CE 2019.1 (191.6605.12 patched) now running on the Jetson Nano, with fsnotifier-linux-aarch64 and no additional warnings in the idea.log. What do you need from me to qualify for a merge?"
2019-05-14T04:13:41Z,discuss,"Status update: I got the build system to generate the installable packages for IDEA-CE and PyCharm-CE with the patch, also on 191.7141. Adding the binary for the linux package should be doable. There is still libdbm64.so to deal with, looking into it. Will be another patch, though."
2019-05-18T20:57:43Z,discuss,"Well, this push went completely down the toilet. I had no intention to push other people's work to this branch. No idea how to revert it, I'll close and open a new one."
2019-05-07T16:29:32Z,commit,switch ModuleChooser to JBPopup,github.com/JetBrains/intellij-community/pull/1126/commits/453b9084685d27324c0949605a3431f1b9820ab1
2019-05-07T16:38:31Z,commit,Copy TBX Reference action: move `VirtualFileQualifiedNameProvider` ba¡­,github.com/JetBrains/intellij-community/pull/1126/commits/f99cd88d6de7b144a17228256dd1a3544a49075b
2019-05-07T17:20:14Z,commit,Plugins management 2019: plugin logo and error message,github.com/JetBrains/intellij-community/pull/1126/commits/abd9585a617d1fa4eee40cabe8c6dbba8c2e1dfe
2019-05-07T12:03:44Z,commit,[fragment-editor] fix leaving string concatenation with duplicate ope¡­,github.com/JetBrains/intellij-community/pull/1126/commits/cbf1753ad84c6394411b87458090388074f6e27c
2019-05-07T17:32:39Z,commit,"FUS: implement ""add test group to local whitelist"" action",github.com/JetBrains/intellij-community/pull/1126/commits/da720ec4a80e607e24bfa34d7543f12304c51ab1
2019-05-07T17:36:55Z,commit,UX-613 remove group icon from title separator,github.com/JetBrains/intellij-community/pull/1126/commits/4964978a8737232b7cbc22294b4f506d1cf86a0e
2019-05-07T17:41:47Z,commit,Fix a couple of tests,github.com/JetBrains/intellij-community/pull/1126/commits/9ac046bebbcf66cda88d7929b63742d6bae749d9
2019-05-07T18:13:40Z,commit,Plugins management 2019: update button in search result,github.com/JetBrains/intellij-community/pull/1126/commits/d042a5cfa86505bfcfe3fba1d55b3a72829232e4
2019-05-07T19:06:42Z,commit,[ui] diagnostics for missing IdeFrame#getBalloonLayout in exception i¡­,github.com/JetBrains/intellij-community/pull/1126/commits/4635b9494fa7506998640967856d50ffe832e951
2019-05-07T21:31:34Z,commit,Get rid of executor icon in single Run Configuration editor dialog,github.com/JetBrains/intellij-community/pull/1126/commits/559c772c5d587c8719e7273a7815cdccd35c2037
2019-05-07T21:48:47Z,commit,IJI-107: proper build number for jbr11 in setupJdks,github.com/JetBrains/intellij-community/pull/1126/commits/be8d67cae53e4a95c12040494669568bcd7a97f0
2019-05-07T22:36:10Z,commit,IJI-107: gradle build property renamed,github.com/JetBrains/intellij-community/pull/1126/commits/357813594bc7af83fc496ff5a3bc588d87db0b53
2019-05-07T21:29:25Z,commit,[vcs-log] extract method updateModel,github.com/JetBrains/intellij-community/pull/1126/commits/f4582f53f8dd8cc7be4ebd997c1c8007869d112e
2019-05-08T00:31:43Z,commit,IJI-107: do not try to add tools.jar for jbr11,github.com/JetBrains/intellij-community/pull/1126/commits/5ac1e6f56b9aa9000992dc47454bdb4e5e55431a
2019-05-06T18:09:24Z,commit,[file-history] simplify isEnabled,github.com/JetBrains/intellij-community/pull/1126/commits/f52251c3c6f031cb72ecf2ee305a6e5048483f24
2019-05-07T16:29:46Z,commit,[vcs-log] extract getSize,github.com/JetBrains/intellij-community/pull/1126/commits/c39697ebcd8921ec6429e962e5830d9638fbf7a9
2019-05-08T00:31:40Z,commit,cosmetic,github.com/JetBrains/intellij-community/pull/1126/commits/5568a5f33206bc76e74d706306093527e7c11c0c
2019-05-08T00:06:41Z,commit,generify,github.com/JetBrains/intellij-community/pull/1126/commits/b2753e0b9158ea1b1536adfa921221ac89639779
2019-05-08T00:00:02Z,commit,skip item-to-text conversions if no speed-search pattern present,github.com/JetBrains/intellij-community/pull/1126/commits/98820afa0ce3b0d6a8c9e9c4dbadac3e17e89cbc
2019-05-08T00:10:05Z,commit,pass project to WizardPopup,github.com/JetBrains/intellij-community/pull/1126/commits/c30f737204d3a40dc47d9a2c2ef5ebc7c55667bf
2019-05-08T02:04:37Z,commit,"introduce ""trim-middle"" logic for all JLabel-based renderers",github.com/JetBrains/intellij-community/pull/1126/commits/c8b0e4034d5825300425ba231225692837f82e33
2019-05-08T02:29:55Z,commit,IDEA-CR-45962 copy border-related logic from DarculaComboBoxUI,github.com/JetBrains/intellij-community/pull/1126/commits/73a81274609d95008163450b881dcdf47852fffa
2019-05-08T02:31:49Z,commit,capitalize on trim-middle logic in DarculaComboBoxUI,github.com/JetBrains/intellij-community/pull/1126/commits/f1b36c9ee1853ebb46179ffa869bfb12e8748544
2019-05-08T02:48:58Z,commit,"IDEA-CR-46832 rename ""Placement"" to ""Tab placement""",github.com/JetBrains/intellij-community/pull/1126/commits/948b0628bb45a27404e3664672448d9d7ddb9a85
2019-05-08T02:53:18Z,commit,BringVariableIntoScopeFix: fix weird concurrency problems,github.com/JetBrains/intellij-community/pull/1126/commits/cc3edefcc08312e485e896a282b0f64b9e679949
2019-05-08T03:23:06Z,commit,do not focus editor when switching placement via Go-to-Action,github.com/JetBrains/intellij-community/pull/1126/commits/db40bc964c15cba611294e4f9922616dbd7dfa93
2019-05-08T04:34:04Z,commit,ExplicitArrayFillingInspection: updated description to inform about l¡­,github.com/JetBrains/intellij-community/pull/1126/commits/f07190c3d1cf5eb65120600fc93c339bfd2bc068
2019-05-08T04:39:04Z,commit,ExplicitArrayFillingInspection: typo fixed (IDEA-CR-46500),github.com/JetBrains/intellij-community/pull/1126/commits/7d67321cddef542245011b6faee58802bde5e751
2019-05-06T18:44:33Z,commit,[file-history] add revision number to canShowFileHistory method,github.com/JetBrains/intellij-community/pull/1126/commits/68f7192845916b156307ed067d6ee439faaffbfd
2019-05-08T02:56:15Z,commit,[file-history] rename VcsLogFilHistoryProviderImpl to kotlin,github.com/JetBrains/intellij-community/pull/1126/commits/0ab0b3ed37c914d0f0d208aa102a2def9f4d1251
2019-05-08T02:56:16Z,commit,[file-history] convert VcsLogFilHistoryProviderImpl to kotlin,github.com/JetBrains/intellij-community/pull/1126/commits/2d5f2a0f4dc2eded2f136d311276476b128ed1f6
2019-05-08T04:23:02Z,commit,"[file-history] show submodule history as a file, not as a directory",github.com/JetBrains/intellij-community/pull/1126/commits/6dff9b8d911adc0ccab10091966ad905759b821e
2019-05-06T13:05:07Z,commit,IDEA-CR-46940: SSH: removed Registry option ssh.use.auth.agent,github.com/JetBrains/intellij-community/pull/1126/commits/00453cd8c0fcedbcd91244fb762d3cf2526654f9
2019-05-06T13:09:15Z,commit,IDEA-CR-46940: SSH: removed Registry option ide.ssh.one.time.password,github.com/JetBrains/intellij-community/pull/1126/commits/a33d0a80a9db32a66797d2c99bdf864978fb7c30
