1156,"Cause ""No proxy for"" list to be comma separated after exanded"
2019-06-11T00:33:04Z,discuss,"Currently it is a space sepparated list, which causes issues when using
proxy exceptions."
2019-06-11T00:33:04Z,discuss,See https://youtrack.jetbrains.com/issue/IDEA-215943 for more details.
2019-08-14T19:52:15Z,commit,git: restore binary compatibility with plugins,github.com/JetBrains/intellij-community/pull/1156/commits/43cf7a7a07ca5ef39a156f678951de27f9ec293d
2019-08-14T20:16:11Z,commit,IDEA-220681 diff: fix incorrect status label,github.com/JetBrains/intellij-community/pull/1156/commits/72a28fa0cfc37cf4fa8a2b10bea3398427220034
2019-08-14T21:29:53Z,commit,EA-208871 - IAE: StringUtil.$$$reportNull$$$,github.com/JetBrains/intellij-community/pull/1156/commits/00424c3921896cabe0cc36822e3538942ffcfdf3
2019-08-14T22:00:03Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1156/commits/0034ec722b0cfa6fb30c9deec8b68ac9168b5d24
2019-08-14T22:07:21Z,commit,don't show thumbnails images action in the project view,github.com/JetBrains/intellij-community/pull/1156/commits/9b3f62b042dc1d922a8e86923dc0f89555a2729f
2019-08-14T22:30:58Z,commit,go to action should show the only one `Open...` action,github.com/JetBrains/intellij-community/pull/1156/commits/ea20241265f9fb956c5a99b1023765aa0e941979
2019-08-02T06:08:35Z,commit,IDEA-CR-51071: FUS: add annotation to mark methods that create or mod¡­,github.com/JetBrains/intellij-community/pull/1156/commits/a3e28862c7e780cb467bd4edab57b74ad6fbce2f
2019-08-14T08:14:55Z,commit,UnmodifiableHashMap: optimized getOrDefault; do not allocate array in¡­,github.com/JetBrains/intellij-community/pull/1156/commits/c64e93f30dea9f79d7da5f18d20994874a798a95
2019-08-14T08:15:56Z,commit,PsiSubstitutorImpl: use optimized UnmodifiableHashMap#getOrDefault to¡­,github.com/JetBrains/intellij-community/pull/1156/commits/9bd5cca6fc67d3f4addfac698e98737a536fceac
2019-08-14T08:16:24Z,commit,InferenceVariablesOrder: minor improvements,github.com/JetBrains/intellij-community/pull/1156/commits/6d817caf3c560a6ac3fa2727dd3c23b73a686236
2019-08-14T10:36:23Z,commit,InferenceVariablesOrder: fast-path in resolveOrder when the resulting¡­,github.com/JetBrains/intellij-community/pull/1156/commits/55cba447f6abd253acbfa4a0d336ebfc215a5bb4
2019-08-14T10:41:58Z,commit,LightAdvHighlightingPerformanceTest#testVarArgPoly: increased count f¡­,github.com/JetBrains/intellij-community/pull/1156/commits/59d7dc78269976997b8b6c609392f258daeb8cb9
2019-08-15T02:41:42Z,commit,InferenceVariablesOrder#resolveOrderFast fixed comparison,github.com/JetBrains/intellij-community/pull/1156/commits/819ce48c13b2ac4956978e4166df2559d578ab94
2019-08-15T02:42:12Z,commit,PsiUtil#equalOnEquivalentClasses: fast-path for equal substitutors an¡­,github.com/JetBrains/intellij-community/pull/1156/commits/925efc9808fba998a96cd562cb1e46b5804bfda2
2019-08-15T04:16:59Z,commit,PsiUtil#typeParametersIterable: less allocations for common case (do ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/1c4352b7406f67e31539b175c0cb6094378490a0
2019-08-15T04:19:30Z,commit,ContainerUtil: fixed some raw type warnings,github.com/JetBrains/intellij-community/pull/1156/commits/b8f38f866a8cef64c4e594ad9664d2e63002a9b3
2019-08-15T04:20:06Z,commit,TypeConversionUtil#isAssignable: fast-path for j.l.Object,github.com/JetBrains/intellij-community/pull/1156/commits/968102292625197be46559d202354c4da683b438
2019-08-15T04:57:32Z,commit,testVarArgPoly moved to InferencePerformanceTest (IDEA-CR-51398),github.com/JetBrains/intellij-community/pull/1156/commits/435e196cb15f64a45a681373b3e9e325466762cc
2019-08-15T06:14:49Z,commit,build scripts: correct javadoc,github.com/JetBrains/intellij-community/pull/1156/commits/fa775c3df9e5fa8af0c435bcbf71b67252b49f02
2019-08-15T06:25:25Z,commit,tests: clear ParserDefinition stored in Language's user data when reg¡­,github.com/JetBrains/intellij-community/pull/1156/commits/ac13e0910d8c6abd1052ba358045f4c89ab639ea
2019-08-15T06:35:42Z,commit,JvmSymbolNameCompletionContributor: support nested classes (IDEA-CR-5¡­,github.com/JetBrains/intellij-community/pull/1156/commits/9f7932ca631bb6dfa67e9167e95c7f808d809bad
2019-08-15T06:53:18Z,commit,tests: clear ParserDefinition stored in Language's user data when Par¡­,github.com/JetBrains/intellij-community/pull/1156/commits/9ffb12fe4d058bf42423307d19c9ab8d54ded4ab
2019-08-15T06:53:38Z,commit,CommitCompletionContributor: use prefix matcher if wasn't invoked exp¡­,github.com/JetBrains/intellij-community/pull/1156/commits/dd0dcc8d79e3fd4920e35fbfae68738f679cf70c
2019-08-15T08:10:36Z,commit,don't show thumbnails images action in the project view,github.com/JetBrains/intellij-community/pull/1156/commits/4a343e57580b9668c1e7e37cfae9d3a1d73f2662
2019-08-15T08:49:08Z,commit,build scripts: take bootstrap version of JPS modules from Maven repos¡­,github.com/JetBrains/intellij-community/pull/1156/commits/444af5308cd3c00de27c87aa693d3a48bc211c72
2019-08-15T08:50:21Z,commit,NullableProblems.html: updated according to review,github.com/JetBrains/intellij-community/pull/1156/commits/509dc1f968b305d722c4c0a1547af52938b98e00
2019-08-15T08:52:19Z,commit,"faster AbstractXmlBlock.canWrapTagEnd, without xi:include resolve",github.com/JetBrains/intellij-community/pull/1156/commits/8ac49ee1f9f8a2232cb4c5fcbf475f5ec007f3ae
2019-08-14T09:45:01Z,commit,IDEA-CR-51440: remove invalid icon reference and update presentation ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/d73aeadc4fe23a7d18f3579025c089608c3a9c97
2019-08-15T09:38:33Z,commit,[devkit] kotlin test data -> test-resources to properly categorize in¡­,github.com/JetBrains/intellij-community/pull/1156/commits/aa9385876efb2761d5ee5346bf9755b54598973b
2019-08-15T09:48:03Z,commit,JavaAutoModuleNameIndex should accepts dirs,github.com/JetBrains/intellij-community/pull/1156/commits/124e5eb2429c6b77a0b718cf9624ff672a5a3155
2019-08-15T09:50:21Z,commit,plugin.xml id index: fixes for IDEA-CR-51428,github.com/JetBrains/intellij-community/pull/1156/commits/113e424d96466f2188ae1e9d55ff7b0917b719fb
2019-08-11T07:38:43Z,commit,Define git config gc.auto for the repository according to team-wide s¡­,github.com/JetBrains/intellij-community/pull/1156/commits/e44eec3c4cade892a281fbc07e314d1f11f0e44b
2019-08-15T09:38:41Z,commit,[gradle] fixed subscription leak,github.com/JetBrains/intellij-community/pull/1156/commits/be82e3a2a77c8cafb978a5648284922be23e41af
2019-08-15T10:10:18Z,commit,EA-210352 - NPE: SimpleDiffModel.clear,github.com/JetBrains/intellij-community/pull/1156/commits/78740e11e9a5583453e5dc443e118a1edbdbf51c
2019-08-15T10:29:27Z,commit,"IDEA-220729 ""Open"" project link doesn't work on Welcome screen",github.com/JetBrains/intellij-community/pull/1156/commits/1074b87afd76910f18a12444e057dde558582b55
2019-08-15T10:40:20Z,commit,PY-37012 Revert accidentally removed import,github.com/JetBrains/intellij-community/pull/1156/commits/9ba53b33b308d273d5dd47c25e371a4c46711c62
2019-08-15T10:56:35Z,commit,[uast] java: fix jump expressions stack overflow,github.com/JetBrains/intellij-community/pull/1156/commits/aec0dc453d858a3bcfc2587ee31b9c497c4eeb57
2019-08-14T11:53:59Z,commit,vcs-ignore: call project file index under read action,github.com/JetBrains/intellij-community/pull/1156/commits/5f336b576e499fa0bd6a575fc6d6026205a3a9a8
2019-08-15T10:56:02Z,commit,git: fix flaky test: assert only error notification,github.com/JetBrains/intellij-community/pull/1156/commits/e178bdaa05aa89ee888844cdbbaa3a94989c0fe3
2019-08-15T10:59:34Z,commit,vcs-ignore: avoid clear unprocessed files without processing it first,github.com/JetBrains/intellij-community/pull/1156/commits/209f9539ccd8f6c4e010409a4d236b78db5a9d4d
2019-08-15T12:03:46Z,commit,Borderless: Cannot easily distinguish two Rider windows with differen¡­,github.com/JetBrains/intellij-community/pull/1156/commits/c7b3da6e99d23b2296a2565574720fd3bfc5c9e8
