1212,It is recommended to add a json view window.
2019-10-12T07:36:00Z,discuss,"Many times the String variable is json. If it is displayed in txt format, it is not convenient to read. Add json formatting window for easy reading."
2019-10-12T07:36:00Z,discuss,"
"
2019-10-12T07:36:00Z,discuss,"I believe that in the following way, the json type is a String variable that is more pleasing to the eye.
"
2019-10-11T21:48:58Z,discuss,"May be better to change default level to WEAK WARNING?
Any big codebases will have a lot of yellow code after upgrade to 2019.3.
Also consider fact that this inspection doesn't have quick-fix - it will distract a lot after IDEA upgrade."
2019-10-09T12:49:24Z,commit,Don't show empty confirmation to disable plugins (IDEA-224470),github.com/JetBrains/intellij-community/pull/1212/commits/caf612c2e0772c7d427a907538e79f2cc7e08abb
2019-10-09T12:57:34Z,commit,Clear list of plugins to install/uninstall on apply (IDEA-224220),github.com/JetBrains/intellij-community/pull/1212/commits/88c6799aadb0209b9baa52483c231b004d495a64
2019-10-08T14:03:42Z,commit,Fix IDEA-224371: recalculate the resource section virtual addresses a¡­,github.com/JetBrains/intellij-community/pull/1212/commits/87684c117a212319ad7d3637b9fa4b747f7172ce
2019-10-09T10:16:16Z,commit,Update launcher-generator.jar (IDEA-224371),github.com/JetBrains/intellij-community/pull/1212/commits/33fe2b2223b4f76e24ef1b752c559b5ee14a9c1f
2019-08-28T08:57:33Z,commit,enable signature inference by default,github.com/JetBrains/intellij-community/pull/1212/commits/eb3c2fa1dce8767a9dff713e5861e97e9fbb18e1
2019-08-28T14:19:05Z,commit,remove notion of flexibility in inference graph,github.com/JetBrains/intellij-community/pull/1212/commits/d36851a9105949f7cbe4e057b5675e8dd556a041
2019-09-24T14:19:22Z,commit,remove notion of forbidding types,github.com/JetBrains/intellij-community/pull/1212/commits/de89aedc6422329ba1c570baf44d5c0ba7f93906
2019-09-24T14:23:10Z,commit,IDEA-221863 SOE in type inlay hint: fix search process in nested clos¡­,github.com/JetBrains/intellij-community/pull/1212/commits/7f3c23f58eca3a041126cf630d325504e1c7c963
2019-09-25T15:33:50Z,commit,IDEA-221863 SOE in type inlay hint: fix endless recreation of DFA for¡­,github.com/JetBrains/intellij-community/pull/1212/commits/fbd7bc8a46673017082053a3c169de5565d89da4
