166,IDEA-123665 richcopy enabled for console and highlighters
2014-04-09T10:24:27Z,discuss,http://youtrack.jetbrains.com/issue/IDEA-123665
2014-04-09T10:40:43Z,commit,dfa: don't suggest to replace reference qualifiers with null,github.com/JetBrains/intellij-community/pull/166/commits/7ddbfd5eed412797c0e6f41e4f6a90ef30b2f352
2014-04-09T11:11:30Z,commit,new iteration model based on ChooseByNameItemProvider,github.com/JetBrains/intellij-community/pull/166/commits/67bc41efbf9ed57aca7fb94438a8d2afee2c94aa
2014-04-09T10:56:22Z,commit,Gradle: code clean-up,github.com/JetBrains/intellij-community/pull/166/commits/71f3f29d59e10ea26fe3e8006e5357977c30f87c
2014-04-09T11:15:12Z,commit,Gradle: code clean-up,github.com/JetBrains/intellij-community/pull/166/commits/2796b2eecaf57d7968fb8d172ff5344326dc7fa0
2014-04-09T11:18:55Z,commit,specify Locale.ENGLISH (it's a locale insensitive string),github.com/JetBrains/intellij-community/pull/166/commits/e1ca7847cfcc8f55e926adb2095e13749d542d3e
2014-04-09T11:13:08Z,commit,jump to source: ability to jump to native V8 script (actual only for ¡­,github.com/JetBrains/intellij-community/pull/166/commits/67da469cda07377f38d161b4226beda37cc77bee
2014-04-09T09:57:35Z,commit,provide project for TestStatusListener,github.com/JetBrains/intellij-community/pull/166/commits/cdf4412adc77b2d6c5de7180f45f871453fd298e
2014-04-09T10:16:09Z,commit,testdata for IDEA-123366,github.com/JetBrains/intellij-community/pull/166/commits/e8603771818588a79fce0826a8e54d83a489ec75
2014-04-09T10:33:58Z,commit,testdata for IDEA-64103,github.com/JetBrains/intellij-community/pull/166/commits/33f6d78833f68b585f407b1133a39202a87b583a
2014-04-09T11:29:27Z,commit,sync nashorn debugger support ValueType,github.com/JetBrains/intellij-community/pull/166/commits/4ba6c032a3db83964991f355ce8f1a17415a2369
2014-04-09T11:28:32Z,commit,make FontMapper compile and work with JRE 1.6 (IDEA-67767),github.com/JetBrains/intellij-community/pull/166/commits/cb14faf2449640e2ee8b78166b8870096fa92747
2014-04-09T11:37:27Z,commit,fixed PY-12449 Create Virtualenv: do not run skeleton generator when ¡­,github.com/JetBrains/intellij-community/pull/166/commits/4f523525fb645fb12bd7693c7194ee72567d857d
2014-04-09T11:38:27Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/10e91a93196fbb26c95504d6f7f4eb4bd0568fd0
2014-04-09T11:54:53Z,commit,fixed PY-12500 Instance attribute defined outside init: generate pyth¡­,github.com/JetBrains/intellij-community/pull/166/commits/5baf0cd4f84819fba792d2717c780d357f324544
2014-04-09T11:55:38Z,commit,New icons,github.com/JetBrains/intellij-community/pull/166/commits/d535632404b9c2069edc130d9a28e34910958219
2014-04-09T12:23:26Z,commit,IDEA-48247 Maven: resources builder: support outputDirectory paramete¡­,github.com/JetBrains/intellij-community/pull/166/commits/8e895ee60970009851b81786b6718e11940690bd
2014-04-09T12:31:04Z,commit,Code formatting,github.com/JetBrains/intellij-community/pull/166/commits/926d1e5ef221a66f3252f67f3781c85a9af011fb
2014-04-09T13:15:38Z,commit,make tests platform-independent (IDEA-67767),github.com/JetBrains/intellij-community/pull/166/commits/1e6e14dc36bf246217b5553c99ac936cea919811
2014-04-09T13:18:11Z,commit,no exceptions in log,github.com/JetBrains/intellij-community/pull/166/commits/89639df204f30fd9a6cd5df535293f8c5350e427
2014-04-09T13:33:22Z,commit,Minor optimization,github.com/JetBrains/intellij-community/pull/166/commits/c613ae13082e9bb656aa82e5410afe2cece0d73f
2014-04-09T13:56:10Z,commit,Remote interpreters dialog redesign (PY-12462).,github.com/JetBrains/intellij-community/pull/166/commits/4220a13d3803d8e167580d4be27e0581bab7b221
2014-04-09T13:58:12Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/9a3d73e9c9397bacde83ba0e9348e08e07e34f4c
2014-04-09T13:56:20Z,commit,RUBY-15202: some parsing tests do want to lowercase first letter,github.com/JetBrains/intellij-community/pull/166/commits/dc15d4251b45aeb6c86e33f0ad5cf2cb9805b49b
2014-04-09T14:12:28Z,commit,fixed PY-12544 Access to a protected member: false negative for impor¡­,github.com/JetBrains/intellij-community/pull/166/commits/8da69d7cb2d7f083d1eed8201dab5c5703576962
2014-04-09T14:18:25Z,commit,ability to find a component by its id,github.com/JetBrains/intellij-community/pull/166/commits/070603e67dc7103d17c9c0f94c0e5143421ea641
2014-04-09T14:21:45Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/166/commits/eb2735c1f67e96bc5157a349699b0e5bf64a5230
2014-04-09T14:23:06Z,commit,WEB-11810 Node.js debugging doesn't work,github.com/JetBrains/intellij-community/pull/166/commits/0b22926537ff6299dca0667d5c2b572376e8a8f9
2014-04-09T14:21:52Z,commit,patch local history tests; remove sync indexing,github.com/JetBrains/intellij-community/pull/166/commits/41e26986ab79917269e0c288177c91f6baaad872
2014-04-09T14:34:33Z,commit,IDEA-123543 Navigate to the Grails plugin page!,github.com/JetBrains/intellij-community/pull/166/commits/2814b3de04fecfe6b8c3381a9ae5cf540633a037
2014-04-09T15:04:39Z,commit,"console LineSeparatorPainter ¡ª remove from editor markup model, but n¡­",github.com/JetBrains/intellij-community/pull/166/commits/70107c7d0cb73d632d0a87defd6aebf51fbcdf85
