178,IDEA-123453 Maven failsafe environment variables
2014-05-07T15:54:46Z,discuss,All in the title
2014-07-04T11:33:52Z,discuss,"Have you submitted a contributor license agreement? If not, please download the PDF from http://www.jetbrains.org/display/IJOS/Contributor+Agreement and then print it out, sign, scan and email to contribute@jetbrains.com"
2014-07-04T14:52:35Z,discuss,"I will, soon"
2014-07-17T14:33:13Z,discuss,Sent
2014-07-18T12:57:45Z,discuss,"Received, thanks."
2014-10-30T14:49:36Z,discuss,Any news?
2015-03-26T08:45:54Z,discuss,"Hi,
Have you plan to add this feature?
Regards,"
2016-03-28T18:30:35Z,discuss,"@klikh - what's the status of this PR? It's almost two years old, and I'm still having issues with the problem this resolves."
2016-05-27T08:49:44Z,discuss,"Hi, I would like to know status of this PR also."
2016-06-28T14:36:00Z,discuss,"merged, thanks for the contribution!
ps., sorry for the delay"
2015-02-26T12:37:49Z,commit,IDEA-123453 Maven failsafe environment variables,github.com/JetBrains/intellij-community/pull/178/commits/831f41a7645789569199c28ba11b4b7efa8a7df2
