284,fix:IDEA-128201
2015-07-03T17:54:27Z,discuss,Added the following Generate Action.
2018-07-21T14:35:48Z,discuss,"@siosio, please rebase the PR, cc @akozlova."
2019-06-23T00:24:56Z,discuss,"hey @siosio
this PR is waiting for you."
2019-06-23T23:12:21Z,discuss,"sorry for the late response.
fix rebase and conflicts."
2019-06-24T06:33:21Z,discuss,"@siosio
is this issue IDEA-128201 still reproducible? there are chances it's indirectly fixed somewhere between 2015 and 2019...
1. if no ->
* just close this PR.
2. if yes ->
* can you please update the PR so it's ready to be merged?"
2019-06-24T07:15:17Z,discuss,"@naXa777 No2(It can be reproduced.)
I will check if it can be fixed in 2019. If can't fix it on 2019, close PR."
2019-06-28T03:23:09Z,discuss,rebase and fix conflict.
2019-06-28T06:13:52Z,discuss,"@siosio thank you!
@akozlova please turn your eyes to this PR."
2019-06-28T20:56:51Z,discuss,Merged manually with some small changes. Thanks
2019-06-28T03:03:04Z,commit,fix IDEA-128201 added the generate of setUpClass and tearDownClass me¡­,github.com/JetBrains/intellij-community/pull/284/commits/012b956cf993b7225d72c47e4195c96c6e298332
