301,Canonicalize paths before sending to file watchers
2015-09-02T19:16:05Z,discuss,"Canonicalize paths before sending them to the pluggable
FileWatchers and restore paths to their original potentially
non-canonical form when they are returned from the file
watchers."
2015-09-02T19:16:05Z,discuss,"This fixes an issue where the fs notifier binary behaved incorrectly when it was presented with symlinks. The fs notifier has some logic to avoid watching certain mount points, but if a user symlinks into a mount, the fs notifier's logic will be bypassed and the mount points will be watched."
2015-09-02T19:16:05Z,discuss,This change is done in the FileWatcher rather than the native fs notifier because:
2015-09-02T19:16:05Z,discuss,Change-Id: I61fd3ac4e3bfbb8b06c2d92190e6db36e7ff00c1
2015-09-08T10:35:09Z,discuss,Setting roots and processing notifications under the same lock may cause a deadlock between JVM and native watcher processes on Linux - we had such issues in the past.
2015-09-08T12:13:25Z,discuss,"There is a problem with CanonicalFileMapper.getMapping(Collection<String>): because on Windows and OS X the native process effectively reports events from entire disc, the method may be quite hot."
2015-09-08T12:19:26Z,discuss,"I'd suggest skipping already-canonical paths - ideally, the mapper should introduce little to no overhead when no symlinks are involved."
2015-09-10T22:30:31Z,discuss,"I uploaded a POC for an implementation that uses a tree so almost nothing is done in the case of already canonical paths. There is a problem when there is a symlink watchroot and a canonical watch root that leads to the same file. Currently, it is solved by an extra loop iteration at the end of the method, but I'm not a big fan of it. I'll think more about it tonight. I wanted to get your input on the new implementation though with regards to performance when there are no symlinks present."
2015-09-10T22:31:39Z,discuss,"With regards to windows and OS X, are you saying that when any file is changed on disk, the filewatcher gets notified?"
2015-09-18T17:42:58Z,discuss,@trespasserw I was wondering if there were any comments about this approach.
2015-09-18T21:12:31Z,discuss,"@trespasserw Hold off on a review, i have a few things I want to clean up first"
2015-09-18T22:44:46Z,discuss,"Alright, it should be good to look at again"
2015-09-21T18:02:36Z,discuss,"Sorry, had a hard week, will take a look at it tomorrow."
2015-09-21T18:02:36Z,discuss,"Regarding changes on OS X / Windows - yep, that is true. The current approach is to filter out unwatched changes on the Java side (see NativeFileWatcherImpl.checkWatchable())."
2015-09-22T12:23:25Z,discuss,"It just came to me that there already exist a very similar kind of path mapping in NativeFileWatcherImpl.checkWatchable() used to handle drive substitutions on Windows. So, unless having a single mapper across all watchers is strictly needed, I feel it would be much simpler to reuse that code - populating myMapping inside setWatchRoots() probably is enough. What do you think?"
2015-09-22T20:54:21Z,discuss,"Just so I understand, we would have to add the canonicalization code that populates myMapping, because it isn't there right now, correct? I didn't notice this myMapping getting populated during my quick test, but I definitely might have missed something."
2015-09-23T11:52:35Z,discuss,"Exactly. Quick check shows it should work - well, at least it passes your tests :)"
2015-09-23T11:52:35Z,discuss,You never saw myMapping populated because it requires Windows host - check out FileWatcherTest.testSubst().
2015-09-23T21:45:15Z,discuss,"Having a single mapper across all watchers isn't strictly needed, but each watcher would have to implement its own. Each file watcher has to know whether a given path belongs to it, and I think it pretty much has to canonicalize to do so. It seems to make sense to have a single one."
2015-09-23T21:45:15Z,discuss,"Is it a good idea to instead remove myMapping from the native file watcher, if it serves the same purpose?"
2015-09-24T17:23:50Z,discuss,"You see, it is kind of implementation detail. NativeFileWatcherImpl uses OS APIs and gets events by canonical paths hence the mapping is needed - but it's not necessarily true for other watchers."
2015-09-24T17:23:50Z,discuss,I think it would be better to extract mapping and path filtering to some shared place so that any watcher may use it but isn't obliged to.
