377,145
2016-04-01T06:20:31Z,discuss,"
No description provided.
"
2016-02-26T15:02:39Z,commit,testdata for IDEA-152179,github.com/JetBrains/intellij-community/pull/377/commits/2be3fc65fe1e1d2fda3abd263b29bb8e8c1349b7
2016-02-26T16:58:35Z,commit,fixed initial default,github.com/JetBrains/intellij-community/pull/377/commits/ec7c8f7e7bf41c82fff18a6fd0a8b9a31b1a8959
2016-02-29T11:15:29Z,commit,restrict dependencies to changed method signature or self change (fol¡­,github.com/JetBrains/intellij-community/pull/377/commits/b32172a79193f43bd3a10d0aed931c5fa5b33250
2016-02-29T17:44:25Z,commit,move destination: check directories in project (IDEA-152320),github.com/JetBrains/intellij-community/pull/377/commits/ed87d8d313d5172f41911bed4aa2288cf9314fbe
2016-02-29T18:34:38Z,commit,testdata for IDEA-152332,github.com/JetBrains/intellij-community/pull/377/commits/f9f32724ed0c2a47970909dad79182104c6929a0
2016-03-01T10:03:28Z,commit,inference: retrieve all type parameters from owner to get correct inf¡­,github.com/JetBrains/intellij-community/pull/377/commits/1f203fac7947ea784b3fa6abe33c3dd5553a3ae7
2016-03-01T13:09:53Z,commit,extract method suggester: unique parameter names (IDEA-152334); updat¡­,github.com/JetBrains/intellij-community/pull/377/commits/c8294b55ca325c58d9440831b78353cf57125598
2016-03-01T15:42:32Z,commit,safe delete: search for conflicts in usages (IDEA-152126),github.com/JetBrains/intellij-community/pull/377/commits/8a6e9ee2fa9e21dabcf2ffffef7c703f93c2cc82
2016-03-03T10:34:32Z,commit,inference: skip lambda content and all its dependants when lambda typ¡­,github.com/JetBrains/intellij-community/pull/377/commits/50e92e53755e9307ea96d52fd08f33d7058a59f6
2016-03-03T11:54:10Z,commit,inference: don't check bounds for variables which may depend on anoth¡­,github.com/JetBrains/intellij-community/pull/377/commits/359c19e880aac999bab8c462ae988ccf684af011
2016-03-03T12:41:25Z,commit,invert boolean: leave final fields without initializer as is (IDEA-15¡­,github.com/JetBrains/intellij-community/pull/377/commits/0e83dbd0d6597a004a09155c91f8ffada1397de2
2016-03-03T14:22:36Z,commit,additional testdata (following IDEA-CR-8743),github.com/JetBrains/intellij-community/pull/377/commits/cb736f33b5fd1ff098f55c695cda07719ef5138e
2016-03-04T11:19:21Z,commit,inference: proper exceptions thrown checks (IDEA-152577),github.com/JetBrains/intellij-community/pull/377/commits/f030a8f56971f846b19c4b5fe467e8b0057b4f24
2016-03-09T09:27:50Z,commit,lambda: proceed c-like arrays declarations in parameters for lambda w¡­,github.com/JetBrains/intellij-community/pull/377/commits/8821ce9660f2097a724029fdecb10dac62fa38a6
2016-03-09T10:18:20Z,commit,inference for non-poly expressions: isAssignable already contains loo¡­,github.com/JetBrains/intellij-community/pull/377/commits/3f878fe4673d16ab4fb1c8f64e8e3767c2be5052
2016-03-09T10:36:48Z,commit,testdata for IDEA-152659,github.com/JetBrains/intellij-community/pull/377/commits/69d51dc90677ad90f47ff5691a431b4800b6ee70
2016-03-09T19:55:53Z,commit,NPE,github.com/JetBrains/intellij-community/pull/377/commits/fc35d72290e22a388e96864333bcc343821ffdd5
2016-03-11T08:31:45Z,commit,unrelated defaults: don't check type parameters,github.com/JetBrains/intellij-community/pull/377/commits/4b004896c0c59e73ee86dd9a03b2779a1d5b7983
2016-03-11T09:02:54Z,commit,unrelated defaults: ignore type parameters check for abstract methods¡­,github.com/JetBrains/intellij-community/pull/377/commits/6cbade47f9123cd2acb6f4a1cb8c146a3ae48ce9
2016-03-10T17:21:07Z,commit,generate tests: order methods by methods order in the source class (I¡­,github.com/JetBrains/intellij-community/pull/377/commits/5bc71f0356513a9a1907748857a1dea695bb9c79
2016-03-10T17:33:59Z,commit,"replace constructor with factory: warn if method already exist, reuse¡­",github.com/JetBrains/intellij-community/pull/377/commits/cd4b8251ff928907b6ac43f9f82e5f7e8103a46a
2016-03-10T19:06:41Z,commit,redundant cast: compare base types for anonymous classes,github.com/JetBrains/intellij-community/pull/377/commits/52ddaaa1cbd0b64fa531779246edc739df6cb4a8
2016-03-10T20:21:05Z,commit,redundant cast: open capture to compare old and new result types,github.com/JetBrains/intellij-community/pull/377/commits/3d03a957ac4b94ecf783ac8081ac271ae12027ce
2016-03-11T10:40:41Z,commit,redundant cast: remove redundant postpone refactorings on non-physica¡­,github.com/JetBrains/intellij-community/pull/377/commits/c2d57b5806ad33882abbab714e74e3941918531c
2016-03-11T14:03:12Z,commit,copy reference: fix isReferenceTo check (IDEA-152601),github.com/JetBrains/intellij-community/pull/377/commits/40078c08519e2a5662e1fc8f48a0d0f089b51069
2016-03-11T15:59:42Z,commit,testng: include @Before/AfterGroups when needed (IDEA-152857),github.com/JetBrains/intellij-community/pull/377/commits/c30c79944134dceee077e13a1bfe7bf80cc351c4
2016-03-11T16:05:43Z,commit,copy reference testdata: avoid same class to be present simultaneousl¡­,github.com/JetBrains/intellij-community/pull/377/commits/c24228d4a2b52d31e5a95dff80cc3f6648e7235a
2016-03-11T17:29:06Z,commit,copy ref: update fqn when constructor is replaced with class,github.com/JetBrains/intellij-community/pull/377/commits/438e9a74e6caea486878f749b535afd9b8d69abb
2016-03-14T11:44:15Z,commit,inference: unchecked warning in type params bounds (IDEA-152758),github.com/JetBrains/intellij-community/pull/377/commits/18611b9d5123b147b805de459944ecbff9048c74
2016-03-14T12:36:56Z,commit,copy to final: effectifely final is enough fot java 8 (IDEA-152934); ¡­,github.com/JetBrains/intellij-community/pull/377/commits/f7d3df8b26ce43c5eaa527a2085d972668368e56
2016-03-14T13:47:38Z,commit,eclipse: don't add combineaccessrules if attribute was not present in¡­,github.com/JetBrains/intellij-community/pull/377/commits/b5209bc58b297ddd220d678e33b88c8b46e8c5d9
2016-03-14T14:35:17Z,commit,testdata based on IDEA-152768,github.com/JetBrains/intellij-community/pull/377/commits/900ac9549f9937ed618dd0aaeca9b353996b9930
2016-03-14T15:58:48Z,commit,revert (IDEA-152685),github.com/JetBrains/intellij-community/pull/377/commits/d3e6823b8d3510a965181a3323dfc4d776d2553a
2016-03-14T18:28:06Z,commit,non-static fields should not be available in static context even if t¡­,github.com/JetBrains/intellij-community/pull/377/commits/22abe81121287434cb5d94252fc80fc879b61db1
2016-03-14T20:29:22Z,commit,don't expand exclude step by timer (IDEA-152991),github.com/JetBrains/intellij-community/pull/377/commits/fd945cb02c3477ff678ccb565e3d6f82062df0a7
2016-03-15T09:01:35Z,commit,SOE with recursive type parameter dependencies,github.com/JetBrains/intellij-community/pull/377/commits/a414dbb435a3f8d9da4377a98710cdef6f4a747c
2016-03-15T09:58:08Z,commit,EA-80374 - IAE: QuickFixFactoryImpl.createMethodReturnFix,github.com/JetBrains/intellij-community/pull/377/commits/9e12dc67bf481b7679775a26a0a709c740945f23
2016-03-15T17:34:43Z,commit,show static import suggestion: ensure normal inference process for me¡­,github.com/JetBrains/intellij-community/pull/377/commits/36236d4caca59813437fd881b8c072bc0a401198
2016-03-15T17:43:23Z,commit,replace constructor with factory: skip new expression inside old fact¡­,github.com/JetBrains/intellij-community/pull/377/commits/64b2cccd5d1a2473b087a75e156cbd991b58c448
2016-03-16T12:32:41Z,commit,lambda -> method ref: compare denotable types (IDEA-153054),github.com/JetBrains/intellij-community/pull/377/commits/d92e1b29076a0e27716c53a44db74f2e9abdfe63
2016-03-16T14:28:43Z,commit,accessibility checks: stop at library level,github.com/JetBrains/intellij-community/pull/377/commits/69812707ae7e1c867fba0c8fe96972d955d0e887
2016-03-16T16:38:04Z,commit,move class or package: open in editor option doesn't depend on select¡­,github.com/JetBrains/intellij-community/pull/377/commits/f2f6654dcd899477b48a57ad09e05ce8ed34da3f
2016-03-17T14:52:25Z,commit,unchecked warnings: don't warn about generics array creation if arg o¡­,github.com/JetBrains/intellij-community/pull/377/commits/87f6ad68f61f738729578ecd0b881cdfcf0b6c10
2016-03-17T16:38:17Z,commit,make type denotable: ensure that array type is not created over wildcard,github.com/JetBrains/intellij-community/pull/377/commits/ef244963ef13ea8ecb9c6f49b1fd702ac910b8f6
2016-03-17T16:57:08Z,commit,redundant cast: recapture wildcards for non-physical elements (IDEA-1¡­,github.com/JetBrains/intellij-community/pull/377/commits/d9bf07af3dfb641d69d48176430e13c6d52f6588
2016-03-17T20:21:41Z,commit,inference: don't include constraints to resolve if input bounds have ¡­,github.com/JetBrains/intellij-community/pull/377/commits/4433d5d4ac6ddbda4dcadb5ab5547e5c257d4156
