379,avoid duplicate String instances of JpsElementChildRoleBase.myDebugName
2016-04-06T15:13:51Z,discuss,"I was playing with MAT on IDEA and found 2500+ instance of this class (subclasses included).
and there're 600+ instance of String ""collection of library root""."
2016-04-06T15:13:51Z,discuss,So intern() should make sense here.
2016-04-06T15:13:51Z,discuss,Null check is not performed as it seems not necessary :-)
2016-04-06T20:43:59Z,discuss,"Have you submitted a contributor license agreement? If not, please download the PDF from http://www.jetbrains.org/display/IJOS/Contributor+Agreement and then print it out, sign (mention you github account name there), scan and email to contribute@jetbrains.com"
2016-04-07T09:13:52Z,discuss,"@klikh, signed and sent, cheers."
2016-04-12T15:02:41Z,discuss,We didn't receive it yet. Could you please resend it once again?
2016-04-13T03:16:14Z,discuss,"@klikh, just resent to contribute@jetbrains.com, could you please check?"
2016-05-04T15:47:28Z,discuss,The CLA was received. Thanks.
2016-05-05T12:06:40Z,discuss,"I merged your commit to 'master', thank you for the contribution!"
2016-05-05T12:06:40Z,discuss,"I also implemented caching of JpsLibraryRootRole and JpsSdkReferenceRole instances to save even more memory (all other roles are singletons), this makes interning unnecessary."
2016-04-06T15:11:49Z,commit,avoid duplicate String instance for myDebugName,github.com/JetBrains/intellij-community/pull/379/commits/450c7a914e237bee4c95154a47e23f03fc4053a7
