385,mistake
2016-04-19T01:49:13Z,discuss,Before you go
2015-06-16T08:26:10Z,commit,Pulling in branding project,github.com/JetBrains/intellij-community/pull/385/commits/666effe313ea561f1e459886d9fbe07eb3efeef8
2015-06-16T08:49:43Z,commit,Putting everything in robovm/,github.com/JetBrains/intellij-community/pull/385/commits/baf061eaa54469e99f5bc4e158a576d72d06eb5d
2015-06-16T08:55:15Z,commit,Added main module,github.com/JetBrains/intellij-community/pull/385/commits/0156e6372d0e61663a0010b9172549799b39e249
2015-06-16T10:37:04Z,commit,Custom RoboVM Studio build,github.com/JetBrains/intellij-community/pull/385/commits/5f2c1901dd3170a114d5e8a75bea302281f4c352
2015-06-16T13:45:16Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/850679168c5714ec27e6a5beee24c2b6a5615933
2015-06-16T13:46:14Z,commit,More build improvements,github.com/JetBrains/intellij-community/pull/385/commits/a3819197ca5d84087f36b276cbcde6ecf6d36717
2015-06-16T14:50:02Z,commit,More build system changes,github.com/JetBrains/intellij-community/pull/385/commits/312ed240ba06cc452952e090b3d7f11ad7761aa1
2015-06-16T14:50:26Z,commit,RoboVM Studio build script,github.com/JetBrains/intellij-community/pull/385/commits/41de04c820bb0e2e87a1c66ef02131af6e038cc4
2015-06-17T10:27:17Z,commit,"Fixed up icons (hopefully), distribution build, version (still funky)",github.com/JetBrains/intellij-community/pull/385/commits/e0869f57b4d1ea4801639d58eb8eab9efd627e4b
2015-06-17T12:26:14Z,commit,Fixed versioning of .app bundle and path selector,github.com/JetBrains/intellij-community/pull/385/commits/73d41f5444d05db7bf955b40f70769de70306595
2015-06-18T08:46:20Z,commit,Updated README and build,github.com/JetBrains/intellij-community/pull/385/commits/51032810086d074af5200a4684c89da0dbe77c9b
2015-06-18T08:47:17Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/d34fd8406bdfe4f315ba73776f03b1df63eb9863
2015-06-18T11:50:29Z,commit,"Moved branding project into this tree, added dmg scripts & assets",github.com/JetBrains/intellij-community/pull/385/commits/6e176dc3917a36718251ae7f0eac1ca9f3756a5b
2015-06-18T15:19:27Z,commit,final tweaks to first EAP build,github.com/JetBrains/intellij-community/pull/385/commits/87897498c0a64574a3ac2ace1df4455003b91f85
2015-06-18T15:50:11Z,commit,Need to delete the dmg before creating a new one,github.com/JetBrains/intellij-community/pull/385/commits/78fa27b0b1af1de823dc6f92cd1ad531e009c582
2015-06-18T16:33:20Z,commit,set -e was a bad idea...,github.com/JetBrains/intellij-community/pull/385/commits/4d50f3fdaa9de4a513b97994bc150d50ebb754b6
2015-06-18T18:32:14Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/bef72b12efc0e7071d89b51f812fc343563d5857
2015-06-18T18:46:33Z,commit,Need to remove idea-version from robovm plugin when bundling it with ¡­,github.com/JetBrains/intellij-community/pull/385/commits/71e9b3f433c22c22be8c39ece8a52d922f7bfbef
2015-06-18T18:49:42Z,commit,Fixed up awk replacement,github.com/JetBrains/intellij-community/pull/385/commits/3d07a0053dc58e51c552cd0f4e3525f13ff5d7ea
2015-06-19T08:42:54Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/3f0e6740b0bb6dc94e4b0053a8da45b18f1a3564
2015-06-19T08:45:19Z,commit,Ignoring jps-build-data,github.com/JetBrains/intellij-community/pull/385/commits/e07dd7948b1c4006a0eae9e0703d7f3ae60afc71
2015-06-22T10:36:29Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/c73dea19c5de53f6066e2041bcf895f8bac0ab7d
2015-06-22T10:37:24Z,commit,Merged with upstream,github.com/JetBrains/intellij-community/pull/385/commits/fe0ca82c0d2fad3419fdcd29291130f2b858865d
2015-06-23T11:30:26Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/dd79211560564041ce7b082cbd54e37251b8fb0d
2015-07-02T08:25:51Z,commit,Merge branch 'master' of,github.com/JetBrains/intellij-community/pull/385/commits/5191802b5f92a96df568a388a06f4c751f1617a6
