429,IDEA-157915: Fix symbolic-ref in HEAD #2
2016-07-21T18:01:11Z,discuss,"
No description provided.
"
2016-07-21T18:10:34Z,discuss,"@klikh Here is a fix for problem with packed-refs.
For now there is only a problem with drawing of Branch view (ctrl+V->7)
It correctly says that master is a current branch.
The problem is that you can't switch from sym-link branch to original one: you don't have it 'Local Branches' section.  (See the attached image)
I don't know what is the best solution here.
And I don't know where to look for the code of this dialog =("
2016-07-21T18:10:34Z,discuss,"Example:
Branch view after executing git checkout ilzi, which points to master
"
2016-07-25T15:21:47Z,discuss,"OK, it seems that the problem is a bit more complex than it seemed at first. I think we have to decide on the UI first, and then make an implementation so that it matches the UI we agree on."
2016-07-25T15:21:47Z,discuss,"Here are my thoughts on this:
0. Let user checkout ilzi branch which is a link to master."
2016-07-25T15:21:47Z,discuss,"What do you think about 2, and what other use cases there are?"
2016-07-25T15:24:24Z,discuss,"Hm. Have you rebased the pull request? I don't see neither code comments, nor the pull request discussion. Or are they hidden somewhere inside github UI?"
2016-07-25T15:29:34Z,discuss,"I didn't manage to reopen old PR. Either I am github newbie, or github thinks that reopening merged PR is strange, or both of them. So I created a new PR."
2016-07-25T15:31:46Z,discuss,"Ah, my bad. I thought that you've opened a new PR, but didn't find it because I didn't look in closed PRs. Here it is for reference: #424"
2016-07-25T15:45:30Z,discuss,"Regarding usecases, as I understand there are quite few symlink usecases:"
2016-07-25T15:45:30Z,discuss,"All the other time git works with normal physical branches.
I don't think that IDEA should behave in different way from 'official' git client. Official git client shows master as a current branch, and I think that we should do the same.
I would think about fixing branch view to understand symlinks in head: i.e. 'Current branch: master(ilzi)', not filtering of master from branch list, etc.
But we can also introduce some cool method getRealBranchFromHead and call it from almost everywhere..."
2016-07-25T16:14:14Z,discuss,"It seems that to solve these issues, instead of treating symrefs as normal branches and resolving them while reading the repository, we'll have to introduce a special conception for them, e.g. something like GitSymbolicRef that would link an actual GitBranch (or a symbolic ref of previous level) and resolve to the hash or to the branch when needed."
2016-07-25T16:14:14Z,discuss,"Btw, could you please share your use cases: why do you use links at all, instead of operating the real branches? AFAIK they are not an official feature of Git: back in 2011 Junio said that only the HEAD and refs/remotes/origin/HEADs are officially supported links. Has something changed after that?"
