433,"IDEA-157903 add ""keep blank lines"" option in properties code style"
2016-07-30T21:09:46Z,discuss,"Currently blank lines in properties files are automatically removed by the formatter. This is very annoying when, for instance, you have spent some time separating groups of related properties using blank lines and then at commit time, the ¡°reformat option¡± being checked, the formatter screw this up in your back (true story :-()."
2016-07-30T21:09:46Z,discuss,This patch adds a new properties code style option (checkbox) to choose if the blank lines should be preserved.
2016-07-30T21:09:46Z,discuss,"By default, the option is disabled to keep the current behavior (removing blank lines)."
2016-08-02T07:41:48Z,discuss,"Have you submitted a contributor license agreement? If not, please provide an e-mail address where I can send the CLA. Please also set up your real name and e-mail in commit details. Thanks."
2016-08-02T19:28:17Z,discuss,"Hi Kirill,"
2016-08-02T19:28:17Z,discuss,"The commit has been rebased to set up the proper commit details.
And I have just sent you the signed CLA on your Jetbrains email address."
2016-08-02T19:28:17Z,discuss,"Kind regards,
Vincent"
2016-08-03T07:14:39Z,discuss,The CLA was received. Thank you.
2016-08-09T16:42:19Z,discuss,"accepted, thank you!"
2016-07-24T14:50:29Z,commit,"add ""keep blank lines"" option in properties code style",github.com/JetBrains/intellij-community/pull/433/commits/1a39280029f6ae8cef5e1d74d7eb3a55a4015eac
