435,IDEA-90507 Close tabs to the right
2016-08-07T19:15:17Z,discuss,"
No description provided.
"
2016-08-11T13:10:23Z,discuss,"Have you submitted a contributor license agreement? If not, please specify your real name (preferrably in commit data as well) and I'll send you an e-mail with the CLA to sign. Thanks."
2016-08-11T15:37:09Z,discuss,"No, I don't. I specified the real name in the GitHub profile."
2016-08-12T16:29:47Z,discuss,Please check your inbox: I've just send there the CLA to sign. Thanks.
2016-08-12T17:09:19Z,discuss,Completed.
2016-08-12T19:32:12Z,discuss,"Received, thanks."
2016-08-12T20:32:46Z,discuss,Thanks you.
2018-07-21T12:09:41Z,discuss,"@vvv1559 please update the RP if you're still interested in.
There's a plugin for that ¨C https://github.com/tom-power/close-tab-left-right.
cc @Vassiliy-Kudryashov"
2018-07-23T20:05:22Z,discuss,"@vvv1559 Actually you shouldn't operate window.getSelectedEditor() because with right-click you get context menu for 'context' file and not 'selected' file. Anyway, thank you, the issue IDEA-90507 seems to be fixed!"
2016-08-07T19:10:09Z,commit,Feature close tab to the left/to the right realization.,github.com/JetBrains/intellij-community/pull/435/commits/7d0af68d6a225e9e7547eed9cfa929c1de422e19
2016-08-07T19:11:02Z,commit,Merge remote-tracking branch 'upstream/master' into IDEA-90507,github.com/JetBrains/intellij-community/pull/435/commits/3dd6b198ed3e250d573f588bd9589bc858ee20a4
