443,Add support Stepik plugin
2016-09-07T22:29:28Z,discuss,"@ktisha
Add support Stepik Union plugin."
2016-09-07T22:29:28Z,discuss,previous version PR
2018-02-09T12:29:57Z,discuss,Close as not relevant anymore
2016-07-13T16:24:50Z,commit,Merge pull request #1 from JetBrains/master,github.com/JetBrains/intellij-community/pull/443/commits/cb60fefb6521123cf206b0fe394f5dc0f1120ac3
2016-07-14T09:11:17Z,commit,save settings,github.com/JetBrains/intellij-community/pull/443/commits/72d132d3b31467c258a7a115282f8b3f2b4ff160
2016-07-14T13:17:02Z,commit,increase rate of project building,github.com/JetBrains/intellij-community/pull/443/commits/065260958a459f8286e109e881db1b21ff21750b
2016-07-14T15:35:18Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/443/commits/5c2a86f9de59e26588c6f25852d6c6a432f8f272
2016-07-15T12:56:55Z,commit,simplify getCourse method,github.com/JetBrains/intellij-community/pull/443/commits/649de64932772e897d0e14eb9db892bc62578e33
2016-07-15T17:18:03Z,commit,save,github.com/JetBrains/intellij-community/pull/443/commits/f558fff57fa688d003a1d089bec89dee1adc736e
2016-07-18T17:20:39Z,commit,save,github.com/JetBrains/intellij-community/pull/443/commits/4ad6fe5a5ec3a5f7a6627119be2fff2637713e24
2016-07-19T16:44:29Z,commit,before init client changes,github.com/JetBrains/intellij-community/pull/443/commits/640d1162027475ad47324da78ccf975918d26d15
2016-07-19T17:42:56Z,commit,init client is done,github.com/JetBrains/intellij-community/pull/443/commits/7c430b3afb8ebce1dc85c1b3e437b4287bae68a3
2016-07-20T14:40:27Z,commit,"add OAuth2 password, only access_token;",github.com/JetBrains/intellij-community/pull/443/commits/fcaad0cad8def3a0a9b4d93ebb5d429fbef8926d
2016-07-21T11:54:19Z,commit,save,github.com/JetBrains/intellij-community/pull/443/commits/0114646b7aeb3cd826ebb5e525b5bc8e56c09b8c
2016-07-22T16:11:03Z,commit,StepicConnector was split for 4 classes,github.com/JetBrains/intellij-community/pull/443/commits/bfd200764e4ce2e9088532d12989931fed16824d
2016-07-25T12:20:14Z,commit,fix login,github.com/JetBrains/intellij-community/pull/443/commits/a58cb5edd3a106c63e5851868c1d2b730c57ec97
2016-07-25T12:31:46Z,commit,Merge pull request,github.com/JetBrains/intellij-community/pull/443/commits/fc43a10df808efbd190669cb895b7780596bb9df
2016-07-25T17:14:01Z,commit,TW problem,github.com/JetBrains/intellij-community/pull/443/commits/441d489c6aa838d1ab3655b8a3cadc04db77a83b
2016-07-26T15:16:48Z,commit,TW problem fix + add online TeX,github.com/JetBrains/intellij-community/pull/443/commits/e3feabccb4a1b5981933f196effe749c561cabe6
2016-07-26T15:53:43Z,commit,maybe fix StepicUpdater,github.com/JetBrains/intellij-community/pull/443/commits/9198d0e235e8cec187f56f57bec73c1aba0a94eb
2016-07-26T18:12:52Z,commit,save: work with post action,github.com/JetBrains/intellij-community/pull/443/commits/d1cc6b16bf4b9ba9fe95013c116e368462a1b9a3
2016-07-27T12:23:19Z,commit,fix step ID,github.com/JetBrains/intellij-community/pull/443/commits/a156a7798fbf38805d691fdedb5278918670f47f
2016-07-27T12:45:39Z,commit,change SubmissionWrapper to SubmissionContainer,github.com/JetBrains/intellij-community/pull/443/commits/ba0a01309a39ee2750b581b21503e97812b57793
2016-07-27T13:12:38Z,commit,"fix sections, lessons and steps numbers",github.com/JetBrains/intellij-community/pull/443/commits/8093ed409acc19ae2ec029123a274c48eb6962f0
2016-07-27T14:39:42Z,commit,improve extending for navigationAction,github.com/JetBrains/intellij-community/pull/443/commits/ad9531963cf81a8fbe0c3b60dcaf1b19e104cfb8
2016-07-27T16:36:52Z,commit,save,github.com/JetBrains/intellij-community/pull/443/commits/d2fcc3c5300c4978c8530879ef95c83c3ec96313
