444,Better Python Console
2016-09-12T02:07:12Z,discuss,Implement proper multi-line console for PyCharm.
2016-09-12T02:07:35Z,discuss,This is a work in progress. Submitting a PR now for JB to keep track
2016-09-12T16:43:14Z,discuss,"Thank you for these changes, the code looks nice. Just a few minors after a short testing:"
2016-09-12T17:33:37Z,discuss,Could you please send me a screencast of how to reproduce these issues? I cannot reproduce them on my machine.
2016-09-14T04:42:46Z,discuss,The last commit should fix PY-13029. There are some other issues I see like connection being closed on UI thread I want to fix here before I go ahead with the actual implementation of the console code...
2016-09-15T12:38:34Z,discuss,@fitermay Thank you for your fixes and improvements! I'm not able to reproduce my phantom bug anymore.
2016-09-15T12:38:34Z,discuss,"A small, but important reminder: if you fix some bug, please, find its id in our tracker and add it to your commit message. If you can't find it, feel free to create it. It will help us to distinguish refactoring commits and bug fixing commits. Also it will make a testing process easier. Thank you!"
2016-09-18T22:33:43Z,discuss,"Ok, this completes what I had planned for this PR. At some point I'd like to implement more enchancements such as a multiplexing console that switches between debug console when process is suspended and regular console when running. These will be submitted as a different PR when I have time to work on them."
2016-09-19T13:50:38Z,discuss,"Thank you very much for your job! I've found some bugs, please, look at them: PY-20848, PY-20847, PY-20849, comment in PY-20836.
Also I've created a tag ""PR 444"" for all issues related to your pull request."
2016-09-20T03:14:18Z,discuss,"PY-20847: As designed. It waits for indent to be 0 to execute. Compare with IPython and IDLE console -- they work the same way
PY-20848,20849,: Fixed
Comment in PY-20836: Yes, it's a bug. Fixed."
2016-09-20T03:33:23Z,discuss,Oops. Never mind. IPython also executes on blank lines.Fixed
2016-10-10T21:56:51Z,discuss,"Hi Yuli, this was huge!
Thanks for the contribution.
The changes were tested and seem to be working quite well."
2016-10-10T21:56:51Z,discuss,Though I have some questions regarding your design decisions: why did you choose to implement it with Executor and Startup activity instead of normal ToolWindow like it was before?
2016-10-11T10:41:05Z,discuss,I've reverted the implementation from Executors to ToolWindow API as it was before. All other fixes were preserved.
2016-10-11T11:07:06Z,discuss,Does rerun action still work properly after the revert? I relied on the reuse content reuse behavior of RunContenrManager to get restart action to work correctly. I'll try to explain more when I have some time today.
2016-10-11T15:24:51Z,discuss,"Ok, this is why I chose to get rid of the Toolwindow."
2016-10-11T15:24:51Z,discuss,From general considerations:
2016-10-11T15:24:51Z,discuss,Specific reasons:
2016-10-13T12:33:18Z,discuss,"Yes, your points are valid and your implementation worked well. The problem is that extending Executor to support console is bit of a API misuse. Toolwindow API was designed exactly for this purpose. So it we think that it doesn't work as it should, we just need to fix it instead making another extension point."
2016-10-13T12:33:18Z,discuss,Also there was a tiny problem that the startup activity was launched later then tool window intitializers which resulted into Python Console tool window appear later then other tool windows in the the corresponding panel.
2016-10-13T12:33:18Z,discuss,Anyway now the code look simpler then before there is only one PythonConsoleToolWindow(with it's factory) which reflects PythonConsoleExecutor with a startup activity.
2016-10-13T12:33:18Z,discuss,As for the rerun - it works fine now.
2016-10-13T12:33:18Z,discuss,"Yes there is now exception which happens sometimes on execute line action due to some async misconfiguration, but I am going to fix it for the next release."
2016-10-13T12:47:55Z,discuss,"Yes, my main concern not so much duplication but having to work with two different APIs for handling execution in console toolwindow vs run toolwindow. Maybe we can think of a way to converge them and also make the toolwindow API smarter..."
2016-09-12T01:59:07Z,commit,"Get rid of PythonConsoleToolWindow, PythonConsoleToolWindowFactory, P¡­",github.com/JetBrains/intellij-community/pull/444/commits/a9da284ebe054899a42cd8ac3677cefbc6918ac9
2016-09-12T02:03:15Z,commit,PY-20839: previous console listeners get rerun on console restart!,github.com/JetBrains/intellij-community/pull/444/commits/7453729752444568d08ba293258c5c505e31bfc8
2016-09-14T00:35:26Z,commit,-- get rid of inheritance from AbstractConsoleRunner with history. It¡­,github.com/JetBrains/intellij-community/pull/444/commits/8746012dbb1796d7c7239e714aceec169836827f
2016-09-14T01:07:09Z,commit,PY-13029: Console restart action does not pick up new console setting¡­,github.com/JetBrains/intellij-community/pull/444/commits/5767661445e7c1d1ab051d2e68536cf20a33b19f
