56,StringUtil.isEmptyOrSpaces improvements
2013-03-26T16:33:42Z,discuss,This is remove usage of 'String.trim()' when checking String for empty(ignoring spaces)
2013-03-26T16:33:42Z,discuss,Two 'while' replaced by one 'for'
2013-03-26T16:41:54Z,discuss,why not just use org.apache.commons.lang.StringUtils#isBlank?
2013-03-26T16:47:22Z,discuss,"VISTALL,
We already have com.intellij.util.text.StringUtilTest, please add your test to the existing class."
2013-03-26T16:47:22Z,discuss,"krasa,
We hate org.apache.commons.lang.everything and have no intention of using it in our code if we can help it."
2013-03-26T16:52:39Z,discuss,updated
2013-03-26T18:58:03Z,discuss,Merged manually. Thanks Valeriy!
2013-03-26T19:20:42Z,discuss,Note that the condition must be <= ' ' rather than ==.
2013-03-26T19:26:15Z,discuss,"my mistake, srr for that."
2013-03-26T19:28:47Z,discuss,forgot new lines & tabs
2013-03-26T16:26:09Z,commit,StringUtil.isEmptyOrSpaces improvements,github.com/JetBrains/intellij-community/pull/56/commits/21ca9910c093bd01a3cb2c0a755d925f35e3f630
2013-03-26T16:49:53Z,commit,removed duplicate StringUtilTest,github.com/JetBrains/intellij-community/pull/56/commits/b3dd185ac192001c8cd3b5d63f1374d47afdb4d6
