619,override SmartList.equals() for better performance
2017-08-29T12:12:18Z,discuss,Default implementation of AbstractList.equals() creates two Iterators and then compare their items one by one. For array-base implementations (ArrayList/SmartList) it's possible to enhance comparison by
2017-08-29T15:14:30Z,discuss,"Why, is there any specific performance problem you're trying to address with this change?"
2017-08-29T18:55:21Z,discuss,I've found 174 usages of List.equals() in the code of Idea CE where concrete instance of List is ArrayList. Changing ArrayList into SmartList probably gives some performance improvement supposing this patch is applied.
2017-08-29T20:05:44Z,discuss,Is it possible to exclude other commits from this pull-request or should I create new one?
2017-09-02T09:18:14Z,discuss,Merged
2017-08-28T21:47:41Z,commit,override SmartList.equals() for better performance,github.com/JetBrains/intellij-community/pull/619/commits/29faf1abf24545aa0d3010f30830a302ab145d69
2017-08-29T12:57:48Z,commit,IDEA-177963 - Servers combo: Switch to <Auto-Detected> on last removal,github.com/JetBrains/intellij-community/pull/619/commits/3871840fc600fdb497de5fbd9bca0055d884a09e
2017-08-28T16:47:31Z,commit,avoid nonsensical clear(),github.com/JetBrains/intellij-community/pull/619/commits/9ed6fc54e75ffa0e53743f541eadd206c109ef49
2017-08-29T11:48:01Z,commit,NPE in tests,github.com/JetBrains/intellij-community/pull/619/commits/65577c112555de25c9f3b0c0d9e845efd9862ede
2017-08-29T12:32:17Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/619/commits/6a90211cefff314ec38d77713774a8a508190d80
2017-08-29T13:03:07Z,commit,check for JDK leaks in tests,github.com/JetBrains/intellij-community/pull/619/commits/95eaf81e0ea497f8c69263c11fd3202d28a7a1b2
2017-08-24T15:57:34Z,commit,logging for EA-106371 - SIOOBE: Class.getSimpleBinaryName,github.com/JetBrains/intellij-community/pull/619/commits/7f29026b108e2d98db7a82218c9f773781db5deb
2017-08-29T09:54:54Z,commit,unused library: don't check runtime dependencies (IDEA-178133),github.com/JetBrains/intellij-community/pull/619/commits/d01a145417a0838abbfc3087ad2aeffb23d9c92b
2017-08-29T12:56:50Z,commit,junit class detection in classpath: accept any,github.com/JetBrains/intellij-community/pull/619/commits/31cdb5f7fd1af37d5a2f3917f6f77216db60e33e
2017-08-29T13:39:30Z,commit,avoid unnecessary text layout cache resets on scrolling,github.com/JetBrains/intellij-community/pull/619/commits/25d48f3e577381ab925909d71c7bd7e4d312be80
2017-08-29T11:35:34Z,commit,let ScopeOptimizer use restricted scope instead of scope to exclude,github.com/JetBrains/intellij-community/pull/619/commits/402bd30012f4b6a7a7d940cd38e3580b69e4a7c7
2017-08-29T13:37:52Z,commit,fix nullability warnings in CreateFromUsageBaseFix#getTargetSubstitutor,github.com/JetBrains/intellij-community/pull/619/commits/32bde283764d820817ea8b5e6d76472a5a59bb05
2017-08-29T13:47:52Z,commit,make substitutor,github.com/JetBrains/intellij-community/pull/619/commits/9430eaa6584894f7e3bff435d55558e10c3d164d
2017-08-29T14:26:11Z,commit,null argument checker: ignore parameters if method throws exception a¡­,github.com/JetBrains/intellij-community/pull/619/commits/f7dd4dfaa4f845191cd796b073a1f5c95cc8e611
2017-08-29T14:58:23Z,commit,IDEA-177766 Properly find in comments inside javascript,github.com/JetBrains/intellij-community/pull/619/commits/1185396f63d82b30fc02328955994dff06c424b1
2017-08-29T15:08:27Z,commit,Make the comment more precise,github.com/JetBrains/intellij-community/pull/619/commits/76c1f21f1e265e16101d64ba3ef0e2fea6affc6d
2017-08-29T15:18:57Z,commit,Allow to reword/rebase in the detached HEAD state,github.com/JetBrains/intellij-community/pull/619/commits/b681e943f38cf948be2af7361c4a324ea2ef0d11
