633,Ep rascal transformation
2017-09-30T00:20:31Z,discuss,Using the 'rascal' tool we applied an EP transformation.
2017-09-30T18:14:10Z,discuss,Please recreate the PR on top of the curent master.
2017-09-27T13:22:33Z,commit,download external dependency for idea model,github.com/JetBrains/intellij-community/pull/633/commits/2385b9b7755f682027b33747f348929053c70e5b
2017-09-27T14:22:43Z,commit,[java-decompiler] migrates to Gradle,github.com/JetBrains/intellij-community/pull/633/commits/ff4bc674397c55ac0556f85c4543b420c82a82ef
2017-09-27T14:41:25Z,commit,Math.ceil the size of an icon,github.com/JetBrains/intellij-community/pull/633/commits/127eb0e4135ead34e70f1712cbf5262f75a46e6b
2017-09-27T13:59:02Z,commit,"CPP-4519 Split Function declaration and Function call in ""Colors and ¡­",github.com/JetBrains/intellij-community/pull/633/commits/d778074174e6d3024cee83af56113bdec1394b23
2017-09-27T13:34:09Z,commit,performance,github.com/JetBrains/intellij-community/pull/633/commits/11b44c444719a70c5b52ecfe3f4f220003ff148d
2017-09-27T15:03:46Z,commit,do not depend on internal ModalityStateEx constructor,github.com/JetBrains/intellij-community/pull/633/commits/7e413ec1afcaf5f9768a6c833b02f526facc3828
2017-09-27T15:23:00Z,commit,IDEA-164682 Removing sdk leads to exception,github.com/JetBrains/intellij-community/pull/633/commits/dd8d43edaea1d928c79b1b52e2c6356f1cbbf7df
2017-09-27T15:47:53Z,commit,[java-decompiler] adds Gradle wrapper,github.com/JetBrains/intellij-community/pull/633/commits/8fd83d1fcdfe5b957866126789b86431d1454883
2017-09-27T13:59:18Z,commit,IDEA-179522 Navigation bar ignores context when operated with keyboard,github.com/JetBrains/intellij-community/pull/633/commits/2c5a9acc92a3922011413ea63ab133739788fa8c
2017-09-27T15:50:06Z,commit,do not select the last item before dismissing the context menu,github.com/JetBrains/intellij-community/pull/633/commits/b8e9ac2192611b0892654fdbc6af2cb369829ad0
2017-09-27T15:57:34Z,commit,more identity equality for modalities (IDEA-CR-24902),github.com/JetBrains/intellij-community/pull/633/commits/990360354f014f06985970d042332123cf4d8101
2017-09-27T16:03:46Z,commit,goto file: suggest slashless variants with all possible suffixes (IDE¡­,github.com/JetBrains/intellij-community/pull/633/commits/50c32497ab1caf61d18702ed17d7c28da01189c7
2017-09-27T14:17:38Z,commit,[groovy] add and use GrGdkMethod#getReceiverType,github.com/JetBrains/intellij-community/pull/633/commits/f23659970396a0789df854c9e48f782741a7744f
2017-09-27T15:55:37Z,commit,[groovy] prefer extension method w/o conversions (IDEA-178481),github.com/JetBrains/intellij-community/pull/633/commits/d41b72f26b43928318e419318ccc75d32b828696
2017-09-27T16:19:11Z,commit,PY-25243: typo,github.com/JetBrains/intellij-community/pull/633/commits/8ee2a09303becca8e818dd5972733cf394c1a90d
2017-09-27T16:29:19Z,commit,[groovy] disable Change To Operator on non-dot calls (IDEA-179683),github.com/JetBrains/intellij-community/pull/633/commits/7ada26d23245a398eb1741448c2263ef310d1704
2017-09-27T16:48:26Z,commit,InputFilter NotNull added,github.com/JetBrains/intellij-community/pull/633/commits/c4690d8bc39d63ed80157d3ca582a49f2f71cfa8
2017-09-27T16:39:38Z,commit,add checkCanceled to possibly avoid calculating text on invalid file ¡­,github.com/JetBrains/intellij-community/pull/633/commits/126df35d956c207786689087ee9aaecfd404e1fc
