658,how to edit privacy policy
2017-11-08T19:36:31Z,discuss,
2012-12-26T16:41:18Z,commit,icon of hideable panel under darcula changed,github.com/JetBrains/intellij-community/pull/658/commits/4dbc170408353e473bcce889f25b21deb91b60bf
2012-12-26T16:42:42Z,commit,Run Configurations dialog doesn't jumping on expanding/collapsing of ¡­,github.com/JetBrains/intellij-community/pull/658/commits/6839a8dfd194d7c6631ee8354eff867b4a47ad06
2012-12-26T16:43:18Z,commit,color for issues in goto task popup under darcula fixed,github.com/JetBrains/intellij-community/pull/658/commits/1fb8271d48f59ac70eb39aa874c5325627ef3b7e
2012-12-24T16:41:37Z,commit,[^maxim] IDEA-98040 Groovy completion of a long underscore is hanging,github.com/JetBrains/intellij-community/pull/658/commits/8071baee872113f84192d087f1f2daa81e2bf5bb
2012-12-24T17:05:24Z,commit,[^maxim] IDEA-98012 Code completion bug in HTML files,github.com/JetBrains/intellij-community/pull/658/commits/fda8ee4260090387eb2399b6c9dca7f6cfb9a5a0
2012-12-26T19:08:43Z,commit,IDEA-96793 RecentFiles popup should show go to class popup if nothing¡­,github.com/JetBrains/intellij-community/pull/658/commits/f153d24cad0b0a6a9cac51a5e2b4b307a55280df
2012-12-19T16:57:30Z,commit,ftlvariable/vtlvariable to jetbrains dictionary,github.com/JetBrains/intellij-community/pull/658/commits/b417802e5d291a03f33ddf8188dc9910f81c0b1c
2012-12-26T16:07:40Z,commit,IDEA-98203 Type of local variables is not visible,github.com/JetBrains/intellij-community/pull/658/commits/b633cfdae27168972bcc281ad69a3aad69ef4267
2012-12-26T17:24:02Z,commit,ensure that library kinds are registered before first library is load¡­,github.com/JetBrains/intellij-community/pull/658/commits/fa82159b08fe749177c8f639d5d87ffcf9abcdbb
2012-12-27T11:38:33Z,commit,IDEA-95807 Argument 0 for,github.com/JetBrains/intellij-community/pull/658/commits/ea120cd6121715dc91748468d62a980959c7c303
2012-12-27T11:49:47Z,commit,IDEA-98129 Idea 12 is broken [jeka],github.com/JetBrains/intellij-community/pull/658/commits/db61b44f50b90c261d2d3e47908f1c4f92fe4860
2012-12-27T13:56:43Z,commit,[r=Peter.Gromov] EA-41254 - IAE: TObjectHash.throwObjectContractViola¡­,github.com/JetBrains/intellij-community/pull/658/commits/90a9d480fcc03b49bc72e519a82991d88e659743
2012-12-26T14:23:46Z,commit,IDEA-97740 'Organize imports' breaks static imports from Groovy class¡­,github.com/JetBrains/intellij-community/pull/658/commits/23d877a794720b6ef6ca33f75713c69eb852f01c
2012-12-26T14:25:06Z,commit,IDEA-98113 create field intention unnecessarily makes the field stati¡­,github.com/JetBrains/intellij-community/pull/658/commits/b2bd6ed8cd6aee46040d94b9ecbf51ad9142e3f1
2012-12-06T19:45:23Z,commit,goto implementations: show chooser in case of inner classes (IDEA-96852),github.com/JetBrains/intellij-community/pull/658/commits/83f7ca53c0f30b9e9deb9083e06e15d9c0cd4508
2012-12-27T17:39:15Z,commit,IDEA-97239 Go To Implementation on EJB2 method no longer works,github.com/JetBrains/intellij-community/pull/658/commits/5e8e7db9d27dc5d15921e921e3884ad42aae8d94
2012-12-27T18:52:40Z,commit,retina icons,github.com/JetBrains/intellij-community/pull/658/commits/268391a7c8d24903fe0cccfaf4a458872e5ab320
2012-12-27T18:51:51Z,commit,fix tests.,github.com/JetBrains/intellij-community/pull/658/commits/95708ce25256cdcd3ae027328e1515ca9d8df123
2012-12-27T18:53:06Z,commit,IDEA-97741 Links in Quick Documentation view hardly readable (Darcula),github.com/JetBrains/intellij-community/pull/658/commits/7371737dd4cff20318e017618b1bf4af782a216e
2012-12-27T18:53:52Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/1c89b81fb87cf6e2dc1ab72d6a9d1eaf6fd51a86
2012-12-27T19:18:01Z,commit,IDEA-97741 Links in Quick Documentation view hardly readable (Darcula),github.com/JetBrains/intellij-community/pull/658/commits/3053496cbc74179e43a265ac82c61055e0a16e04
2012-12-28T12:39:43Z,commit,JSP validation fixed for external build [rev by Jeka],github.com/JetBrains/intellij-community/pull/658/commits/19f6b954c6a578ffbdc1591ad7cc47f40d368ebb
2012-12-28T12:46:37Z,commit,jps: include project output to excluded list of containing module (ID¡­,github.com/JetBrains/intellij-community/pull/658/commits/858e7f560a069e8fdfd7e69cfe677dafa15bc7d0
2012-12-28T17:39:19Z,commit,IDEA-94187 TODO items from SQL files are double-counted,github.com/JetBrains/intellij-community/pull/658/commits/6128b2f673dbfc42406ccdb709224939b0557503
2012-12-29T13:49:50Z,commit,EA-42422 - NPE: TemporaryPlacesRegistry$.addInjectionInPlace,github.com/JetBrains/intellij-community/pull/658/commits/0663c7a501c8c69f8a12133436cb56fa5bb54014
2012-12-29T14:32:13Z,commit,IDEA-97381 (Cloneable class in secure context wrongly prompts for gen¡­,github.com/JetBrains/intellij-community/pull/658/commits/796399acaebf575d3093ada28dcd065c1d8ce2f3
2012-12-29T14:32:46Z,commit,"IDEA-97330 (Change default pattern of ""Enumerated constant naming"")",github.com/JetBrains/intellij-community/pull/658/commits/b2861073761863644ca6672e72f673e7b80e0246
2012-12-29T14:33:04Z,commit,IDEA-97460 (Java intention 'Replace for-each with iterator 'for' loop¡­,github.com/JetBrains/intellij-community/pull/658/commits/07118733629ef5aba274d7d306b4797fdf0ba1a8
2012-12-29T14:33:21Z,commit,"improve ""Extended 'for' statement"" inspection quickfix",github.com/JetBrains/intellij-community/pull/658/commits/8f4ce4a4d52fb0e510c2f947f6ef69c434df3a60
2012-12-29T14:35:08Z,commit,IDEA-97999 (Interface which has only one direct inheritor inspection ¡­,github.com/JetBrains/intellij-community/pull/658/commits/2ea6c06efaafb5ba3a9ce90cf6aada951acf6f3c
2012-12-29T14:35:25Z,commit,"IDEA-98213 (Bogus ""Unnecessary fully qualified name"" for names in cur¡­",github.com/JetBrains/intellij-community/pull/658/commits/af4bc27b3ff4307984dd1437e52a33651283fef7
2012-12-29T14:35:49Z,commit,fix inspection option text,github.com/JetBrains/intellij-community/pull/658/commits/cb50ed69c45fa7d3b1386336bd0bfa16cf59846d
2012-12-29T14:36:03Z,commit,"IDEA-98143 (false positive ""instance field used before initialized"" w¡­",github.com/JetBrains/intellij-community/pull/658/commits/28cd251b1700eaaef8efb6479edf697fae614639
2012-12-29T14:36:15Z,commit,always warn on raw use of parameterized type in array creation,github.com/JetBrains/intellij-community/pull/658/commits/27fbdfaffbacf5b5e0c132c63dea6da68b69b69e
2012-12-29T18:52:09Z,commit,fix test,github.com/JetBrains/intellij-community/pull/658/commits/1ab77d73eef68ab22146ba08f3d6386c27d8af9b
2012-12-17T15:40:22Z,commit,"IDEA-97632, IDEA-64572 Correctly sort changes in tree view + test",github.com/JetBrains/intellij-community/pull/658/commits/dd5461f047a5c54fd594b5e16fae44e9a7b505d8
2012-12-28T15:24:34Z,commit,IDEA-97332 Icons for Import and Exports Settings on Welcome Screen,github.com/JetBrains/intellij-community/pull/658/commits/4f03ca8f08dccc453222dd63f2e52855030da9a2
2012-12-28T15:26:12Z,commit,IDEA-98261 AdditionalTextAttributes for scheme,github.com/JetBrains/intellij-community/pull/658/commits/66ac1ccdfcc277696e79c4bc7c1bc8b07aee8024
2012-12-31T14:16:35Z,commit,IDEA-98382 Can't create module because of wrong SDK,github.com/JetBrains/intellij-community/pull/658/commits/a8122f6c2d08fc9ca0e2b2432805bdd24bff8811
2012-12-30T12:21:07Z,commit,IDEA-98305 'Use Darcula aware JBColor' inspection is triggered in non¡­,github.com/JetBrains/intellij-community/pull/658/commits/b12613d4dea582beaf0cbe90e4696cf88c28e6e1
2013-01-03T12:23:50Z,commit,IDEA-98443 Structure view is empty after invoking and closing Languag¡­,github.com/JetBrains/intellij-community/pull/658/commits/14f856452277f16f24946f806a27bd42d345ed7e
2013-01-02T20:19:14Z,commit,IDEA-98421 (parse super call type arguments),github.com/JetBrains/intellij-community/pull/658/commits/0ed07081dbf5a1feaa78946ee0b645327f44b6c9
2013-01-03T11:58:03Z,commit,retina icons,github.com/JetBrains/intellij-community/pull/658/commits/61193481f0fbfb30f14c51d6279c2e1893cfc40f
2012-12-18T08:13:44Z,commit,IDEA-91218 Resourcebundle editor is collapsed after lost focus,github.com/JetBrains/intellij-community/pull/658/commits/d4a93d4265b4d4955c2f614f5ec7681889d11e7c
2012-12-17T13:14:01Z,commit,IDEA-97430 Out of memory during reformat code,github.com/JetBrains/intellij-community/pull/658/commits/7fdd61de392d0aebd2ba5766963efd81af984323
2012-12-19T09:30:23Z,commit,IDEA-13269 Sync Resource Bundle view with text view for a properties ¡­,github.com/JetBrains/intellij-community/pull/658/commits/33d6333eeec4f90a7879915c2f9e31f6675421f3
