685,Fix bug in resizing of DialogWrapper with large error label
2017-12-15T17:03:18Z,discuss,"If the error label in the DialogWrapper is displayed on multiple lines,
any update of the error message that keeps it on several lines will
cause the dialog window to shrink."
2018-01-02T17:39:01Z,discuss,"Have you submitted a contributor license agreement? If not, please follow the steps described at http://www.jetbrains.com/agreements/cla/ to sign it."
2018-01-02T18:10:26Z,discuss,CLA signed
2018-01-03T20:15:39Z,discuss,No individual CLA applies to this contribution; it's work for hire at Google and covered by the agreement between Google and JetBrains.
2018-01-03T20:15:39Z,discuss,"@jgaillard85, your GitHub account should belong to the Google org."
2018-01-09T18:31:23Z,discuss,Updated PR following comments
2018-01-17T23:52:03Z,discuss,@kkmic I'm not seeing this change in the master branch where the update above appears to show it was merged. Do you know why? Is ¡°JetBrains:master¡± something different?
2018-01-18T12:34:48Z,discuss,'Cause I did it a wrong way. Now it's in our master and will sync up with the community soon.
2018-01-18T20:37:55Z,discuss,I see it commit d796888 on master now. Thanks!
2015-10-19T15:57:00Z,commit,Fix bug in resizing of DialogWrapper with large error label,github.com/JetBrains/intellij-community/pull/685/commits/ff240093f6fe6aa47c62531694c75b8b3a6a9c8c
2018-01-09T18:29:21Z,commit,Use set/getMinimumSize,github.com/JetBrains/intellij-community/pull/685/commits/e79ad293065aa81503c20ed56d51daa789277a54
