69,IDEA-102051 Unable to toggle fullscreen view on linux.
2013-04-08T20:53:00Z,discuss,"Draft of supporting of FullScreen Mode at Linux.
Checking on JRE 1.7, 1.8 XFCE with SawFish WM"
2013-04-08T21:09:27Z,discuss,"Since there is some issue with full screen in 1.6 of Java... Supporting only from 1.7... which is checks in the code...
I don't have ability to check in Gnome3/2 or KDE..."
2013-04-09T08:00:16Z,discuss,"Unfortunately, we have to check all window managers."
2013-04-09T08:11:19Z,discuss,"Ok, I will try to do this by using VM... And let you know about results."
2013-04-09T09:52:41Z,discuss,"Phanteon (Elementary Desktop/OS) - Passed
KDE - Passed
Gnome Classic - don't working at all =((( It seems issue with compozite manager, need to check on the latest version
Gnome Classic (no effect) - Passed
Gnome Shell - Passed (issue with top bar depth, after switch (alt-tab) or Active IDEA menu e.g. Alt+F everything is ok)
XFCE - Passed with the same issue with Gnome Shell (after switching (alt-tab) or activating IDEA menu e.g.Alt-F works well)
Ubuntu Unity - Passed. works well if window is not maximized."
2013-04-09T09:52:41Z,discuss,"Thus I think in most of cases this code working well, but need to think about some tweaks for Unity and XFCE and Gnome Shell..."
2013-04-09T09:52:41Z,discuss,Any suggestion how I can check which WM is used?
2013-04-09T10:11:17Z,discuss,Problem with Gnome Classic is found. Related to Compiz.... To be able to have full screen support in Compiz need to turn on Legacy Fullscreen Support in Workaraund settings.
2013-04-09T15:27:21Z,discuss,"Gnome Classic issue related to Compiz. In the last version it seems was fixed... Trying to check this now.
In any case it's able to fix by Compiz Workaround settings - Legacy Fullscreen Support."
2013-04-09T15:27:21Z,discuss,Ubuntu unity - Need to perform fix for Compiz and update Unity to 0.6 version.
2013-04-09T15:27:21Z,discuss,Checking now....
2013-04-09T15:27:21Z,discuss,"About Gnome3 and XFCE still don't know how to fix, but in any case it's not break this functionality at all."
2013-04-10T17:08:26Z,discuss,"Finally with the last commit, should work with all WMs which support _NET_WM_STATE_FULLSCREEN.
By now check successfully with:"
2013-04-10T17:08:26Z,discuss,Enjoy!
2013-04-11T14:21:06Z,discuss,Working everywhere. Update status of where its was checked:
2013-04-11T14:21:06Z,discuss,Please review and merge with master
2013-04-11T14:57:08Z,discuss,"Last behavior of going to Fullscreen mode also support 1.6, 1.7 and 1.8 JRE. Thus checking runtime JRE was removed."
2013-04-11T18:09:38Z,discuss,"Vladimir,
we have developed an (almost identical) fix in-house. Really sorry for wasting your time :("
2013-04-11T18:09:38Z,discuss,"It is disabled by default so you need to specify -Dide.unix.full.screen.enabled=true to unlock it (that's because under Metacity and clones all pop-ups and dialogs go under a main window when in full-screen, so it will stay disabled till we found a solution)."
2013-04-11T19:28:47Z,discuss,"Mmm... code is more ""true"" for real boss =))) .... using reflection... :/ thinking about the same way, but found this code which is more clean and much small, and in it did't check the 32 or 64 bit system thus it's more small..."
2013-04-11T19:28:47Z,discuss,Just now I checked using metacity my code and I don't faced with problem which you described above....
