731,173
2018-02-11T16:29:02Z,discuss,I need IntelliJ IDEA source code for the purpose of developing a new plugin. Thanks!
2018-02-12T10:24:52Z,discuss,"@baocatsamac you do not need to create malformed pull requests to develop plugins for IntelliJ IDEA.
Start reading docs from this page: https://www.jetbrains.org/intellij/sdk/docs/welcome.html"
2017-12-18T05:09:08Z,commit,JavaTargetElementEvaluator#findOverridingMethod: run DFA only if meth¡­,github.com/JetBrains/intellij-community/pull/731/commits/88e4fb506c408fe87f50d8366cd742128b78924d
2017-12-21T09:48:29Z,commit,improve message for diagnostic,github.com/JetBrains/intellij-community/pull/731/commits/8911919b8bdae6bb6f4294a9aed86f7d70e0abcb
2017-12-21T10:43:59Z,commit,Merge remote-tracking branch 'origin/173' into 173,github.com/JetBrains/intellij-community/pull/731/commits/55156fc1bd939cdf9b41b2b7628f5ccd6217bd83
2017-12-19T14:11:13Z,commit,EA-113885 - IVFAE: VirtualDirectoryImpl.doFindChild,github.com/JetBrains/intellij-community/pull/731/commits/238159a9fef77290dd3fd572fc6fea596c9b3496
2017-12-20T13:01:20Z,commit,"Don't log any errors for CustomRegionTreeElements, they are perfectly Ok",github.com/JetBrains/intellij-community/pull/731/commits/b63d66189ae215afff4a9c2ce5f0ec30d91a72fa
2017-12-19T05:59:08Z,commit,Build toolwindow icon,github.com/JetBrains/intellij-community/pull/731/commits/f7d0230cf2ffc45ecbba1cf88e4a97bed8b8cc7b
2017-12-20T12:16:41Z,commit,ES: merge frequent importing requests for the same project,github.com/JetBrains/intellij-community/pull/731/commits/1634f2b2ca92dd1695618d5f4efd1c83adf8146c
2017-12-21T12:36:12Z,commit,Gradle: obsolete notice updated,github.com/JetBrains/intellij-community/pull/731/commits/f3d6367db7f17c72df2aa35fb53f96517533fe0b
2017-12-21T13:51:13Z,commit,Increase max allowed continuation indent size (see IDEA-183665),github.com/JetBrains/intellij-community/pull/731/commits/8b2b3606e4597028658e518550d209f80ab47308
2017-12-21T15:01:02Z,commit,fix hanging on saving,github.com/JetBrains/intellij-community/pull/731/commits/4139fd834624981acee79cbef5b74de6b7ad94bf
2017-12-21T17:25:08Z,commit,use fallback font for Splash screen,github.com/JetBrains/intellij-community/pull/731/commits/6a63735cf23bd2720724d15b648a78176806ccd9
2017-12-14T12:21:01Z,commit,Java: Don't try to use anonymous class as outer class when matching d¡­,github.com/JetBrains/intellij-community/pull/731/commits/8f420d3390d0b5a39809ce8173c4b5d4c9d84c1c
2017-12-05T15:43:48Z,commit,Fix sporadic exceptions in AbstractTreeUi.,github.com/JetBrains/intellij-community/pull/731/commits/6772704a7007d058a27add1dc0b8f81c4afb589f
2017-12-22T12:59:30Z,commit,IDEA-184156 be able to handle null values as master doesn't write def¡­,github.com/JetBrains/intellij-community/pull/731/commits/91dc445faec7cffd3372b012e43d1f86a1cde95d
2017-12-18T11:31:56Z,commit,junit 5: add standard engines if no custom engines are found(IDEA-183¡­,github.com/JetBrains/intellij-community/pull/731/commits/6a5e0d3cba28a1e419d309ea367e9e7cd247fe84
