78,svn4idea / git4idea SSH agent support
2013-05-28T18:14:01Z,discuss,Oops -- created against an incorrect base.
2013-04-19T12:09:25Z,commit,"Restart maven embedder when ""VM option for importer"" field is changed.",github.com/JetBrains/intellij-community/pull/78/commits/3c02c2fdb616288183d154a121b64e3587d7d521
2013-04-19T12:13:16Z,commit,"Restart maven embedder when ""VM option for importer"" field is changed.",github.com/JetBrains/intellij-community/pull/78/commits/8b2c61e26170bb40d83a2c8d765abb774a04803c
2013-04-19T12:15:58Z,commit,Merge branch '129' of git.labs.intellij.net:idea/community into 129,github.com/JetBrains/intellij-community/pull/78/commits/1bf4ddc691ba256f556ab07bea54f1e1e614a560
2013-04-18T13:34:10Z,commit,NPE fix,github.com/JetBrains/intellij-community/pull/78/commits/d8f42102c5c2c82b82940a3737f709d0e9ad59b1
2013-04-19T14:51:02Z,commit,Fix for IDEA-104544 Comments in JSP editor black instead of gray [CR-¡­,github.com/JetBrains/intellij-community/pull/78/commits/d4dc53944448b6cd97249941f00004a22adf1366
2013-04-18T19:24:22Z,commit,IDEA-105295 'Syntax aware selection' selects too much,github.com/JetBrains/intellij-community/pull/78/commits/b26c638adb38783ca9fb36bed976eaa5ea90ad57
2013-04-19T08:25:51Z,commit,IDEA-105595 Select last search / replace string in Find and Replace,github.com/JetBrains/intellij-community/pull/78/commits/b6353ec9a2cfe6a157e944e61ab37904459c75cc
2013-04-19T17:07:53Z,commit,SIOOBE fix: greedy flags,github.com/JetBrains/intellij-community/pull/78/commits/374438c5f869e9bbe309dd11cd22b0755a4ad390
2013-04-15T19:10:18Z,commit,http://ea.jetbrains.com/browser/ea_problems/43930,github.com/JetBrains/intellij-community/pull/78/commits/945301e4f4471238716a48ecf0f0fea92a2866fd
2013-04-19T18:21:16Z,commit,http://ea.jetbrains.com/browser/ea_problems/45668,github.com/JetBrains/intellij-community/pull/78/commits/ea427019eeecf35717d1114a7119535766ffd105
2013-04-17T11:25:16Z,commit,IDEA-101256 Cannot disable scrollwheel tab switching,github.com/JetBrains/intellij-community/pull/78/commits/e9494e9ed58c99b06225597e575f8af3a8ca76a5
2013-04-19T10:53:01Z,commit,documentation,github.com/JetBrains/intellij-community/pull/78/commits/893dd8e1c60800a6558414126fbbfa41ff64a4e1
2013-04-19T20:18:32Z,commit,PHP WI-17962 PHPStorm seems to think 'selected_valid_from_month' is SQL,github.com/JetBrains/intellij-community/pull/78/commits/72fd843e128390bb48eeb577757cad65f1a8c7a4
2013-04-21T09:00:18Z,commit,"When running ant, prefer Main class over Launcher because IDEA builds¡­",github.com/JetBrains/intellij-community/pull/78/commits/c8b2af119ff5da01961047732e20429f5d445fd6
2013-04-18T17:08:30Z,commit,Cleanup,github.com/JetBrains/intellij-community/pull/78/commits/a7a682c0d119171e29f315e18802981877d388ed
2013-04-22T11:07:32Z,commit,IDEA-105472 (correct quoting of Windows shell commands),github.com/JetBrains/intellij-community/pull/78/commits/df55665b4dbe7e09fab9268f6f29949fc163c35a
2013-04-01T15:08:32Z,commit,[git] IDEA-103375 Fix understanding Git submodule roots,github.com/JetBrains/intellij-community/pull/78/commits/1ac1fda37119677bd96f28ade4be0810f39d4fa9
2013-04-10T17:11:30Z,commit,[git] IDEA-104846 Fix pushing new branch without new commits,github.com/JetBrains/intellij-community/pull/78/commits/bebc84c2cca29caad5daaf01222d0803c3928d4b
2013-04-18T11:06:32Z,commit,"[git] IDEA-105670 Respect ""limit history"" setting",github.com/JetBrains/intellij-community/pull/78/commits/21a4e44723e31c264973b5b7cd0c12990c08fe23
2013-04-22T15:51:53Z,commit,OC-7210 Improve Xcode keymap,github.com/JetBrains/intellij-community/pull/78/commits/d8220a8ddfe14a5dd7703b9f9e3750332728cbb2
2013-04-22T17:09:04Z,commit,IDEA-105472 (test added),github.com/JetBrains/intellij-community/pull/78/commits/b5174038a84c6656fa4a62db337d005186ec87d6
2013-04-19T13:54:42Z,commit,Do not check spelling for HTML colors + IDEA-53780 Wrong typo warning¡­,github.com/JetBrains/intellij-community/pull/78/commits/d41b2af6460db9f155df3f29e9b0e2e729572442
2013-04-18T22:04:27Z,commit,fix mispirnts in fiel naems,github.com/JetBrains/intellij-community/pull/78/commits/4e42840d7ab27d02ab13a754385d4b947c47cd27
2013-04-23T09:45:58Z,commit,IDEA-105830 Dracula: All html links in the UI have not dracula style ¡­,github.com/JetBrains/intellij-community/pull/78/commits/f68c9841e5d2e5e1d7a19d3d6b86fa9e248ca744
2013-04-23T12:49:19Z,commit,[git] IDEA-105577 Revert changes in listing commits in Git Push dialog.,github.com/JetBrains/intellij-community/pull/78/commits/025340e1ae8556745b7697e9e890c0a11c22ee4f
2013-04-23T12:04:19Z,commit,"IDEA-104811 do not apply ""source copying"" strategy for roots excluded¡­",github.com/JetBrains/intellij-community/pull/78/commits/a5ac52e348dcaa6854e0f403d31646df89b994c1
2013-04-23T12:07:06Z,commit,initial tests for android-maven importing,github.com/JetBrains/intellij-community/pull/78/commits/f34f93c4e492818ace7ba6f64d9aea408d4695ce
2013-04-23T12:08:25Z,commit,IDEA-105490 collect ids from drawable xml resources too [rev=alexande¡­,github.com/JetBrains/intellij-community/pull/78/commits/e297bd137364218050177ef642b471397b2928ae
2013-04-23T12:11:21Z,commit,"fix removing useless ""apklib"" dependency from module root model: get ¡­",github.com/JetBrains/intellij-community/pull/78/commits/919e006e7c6e4c3f93e2a340a9dc725e4ccd0dec
2013-04-23T12:12:14Z,commit,fix: clear cached platform if build target is changed,github.com/JetBrains/intellij-community/pull/78/commits/2ba469a04bc6a49fbdce05dc4f9ee16f6c048624
2013-04-23T12:13:32Z,commit,IDEA-91615 choose the newest platform if api level is not specified i¡­,github.com/JetBrains/intellij-community/pull/78/commits/78c51892d6d3162ad2a172c13aba97e08227d1c0
2013-04-23T12:14:31Z,commit,IDEA-105676 fix NPE [rev=alexander.lobas],github.com/JetBrains/intellij-community/pull/78/commits/73ae6b63220666b3d06f5b7600557564ebdbeda9
2013-04-23T12:15:56Z,commit,fix NPEs: we should compute packages also when we embed debugger into¡­,github.com/JetBrains/intellij-community/pull/78/commits/6d929cecc51bc1e5c21b7fda60eb885539129fa7
2013-04-23T12:16:46Z,commit,fixes: use THashSet(FileUtil.PATH_HASHING_STRATEGY) instead of simple¡­,github.com/JetBrains/intellij-community/pull/78/commits/fba5a50d021263901778c84535d4b72a28011908
2013-04-23T12:17:49Z,commit,IDEA-91615 IDEA-104800 read platform version and sdk path from proper¡­,github.com/JetBrains/intellij-community/pull/78/commits/746df98c4991f66d696a1453cd2a9387e188e3f8
