82,SSH agent support for git and svn integrations
2013-06-25T17:13:46Z,discuss,"This version allows SSH agent-based authentication to be used for authenticating to SVN or git, as discussed in the ticket http://youtrack.jetbrains.com/issue/IDEA-52034"
2013-06-25T17:16:27Z,discuss,"A contributor agreement has been submitted by Doug Grey, VP of Engineering at at Indeed.com (which owns copyright to this change)."
2013-12-26T14:09:02Z,discuss,Sorry for delay with this pull request.
2013-12-26T14:09:02Z,discuss,"@charles-dyfis-net I see that SvnKit 1.7.10 introduced SSH agent support added via JSCH library. Was it your patch accepted by SvnKit team or it is somewhat different?
Currently there are no reasons (besides additional testing) not to update SvnKit shipped with IDEA to 1.7.11, so we'd prefer an official build to the patched version."
2013-12-26T14:09:02Z,discuss,Could you please check if the patch works fine if SvnKit 1.7.11 is used?
2013-12-26T15:44:24Z,discuss,"Yes, this patch works with upstream SVNKit 1.7.11."
2013-12-26T15:54:50Z,discuss,"@charles-dyfis-net
Thanks! Could you please recreate the pull request without patching svnkit?"
2013-12-26T16:09:03Z,discuss,Per request.
2013-12-26T16:09:03Z,discuss,"That said, there's still a pretty nontrivial set of conflicts trying to merge this into current master -- one of the perils of leaving something unmerged for quite this long."
2013-12-26T16:09:03Z,discuss,I might try to rebase. Would master be the appropriate target?
2013-12-26T16:14:25Z,discuss,Yep. Please rebase against current master.
2013-12-26T18:07:18Z,discuss,"Done. I'm including the upgrade to SVNKit 1.7.11 (released version) as a separate changeset -- so y'all can cherry-pick the piece that doesn't contain it if the upgrade has been done separately. As the patch can't be built without an appropriate SVNKit, not including one at all doesn't make much sense."
2013-12-26T19:26:18Z,discuss,Bleh -- this PR is still using 129 as target. Closing and recreating.
2013-12-26T19:28:09Z,discuss,Reopened as #140
2013-12-19T16:03:54Z,commit,restore WebBrowserUrlProvider API,github.com/JetBrains/intellij-community/pull/82/commits/d4d4ad54db8a386fe8fd787deaef8ba8bb5ca077
2013-12-19T16:09:06Z,commit,"polish ""Difference using ""Open in browser"" vs browser icon"" fix ¡ª we ¡­",github.com/JetBrains/intellij-community/pull/82/commits/bcebafd0b1e87ef57c3cd752560994bef90e1a46
2013-12-19T16:16:33Z,commit,IDEA-118429 (IDEA incorrectly suggests to remove unboxing),github.com/JetBrains/intellij-community/pull/82/commits/c45066584665b9485d005e6821e08af066f2548f
2013-12-19T14:05:43Z,commit,ui: correct icon for facet editor panel,github.com/JetBrains/intellij-community/pull/82/commits/4eb09a2f3a3ec19bf10c5604b44687a9ee3df96c
2013-12-19T16:15:24Z,commit,platform: incompatible KTerm option stripped,github.com/JetBrains/intellij-community/pull/82/commits/285876768890fa1413bc2709b30984e7381361d7
2013-12-19T16:26:12Z,commit,Cleanup (duplicate),github.com/JetBrains/intellij-community/pull/82/commits/d2e8aa1934c0ebed4cbed3507cb75e6190cc4317
2013-12-19T17:32:22Z,commit,add missed src jar,github.com/JetBrains/intellij-community/pull/82/commits/f34a02493fa5cebd9b5fc5a8857d5997c013ba06
2013-12-19T17:38:00Z,commit,Cleanup (PTY runner decoupled from GeneralCommandLine),github.com/JetBrains/intellij-community/pull/82/commits/1da12c620597edd27ff5089343e094205600bc2a
2013-12-19T11:42:57Z,commit,more precise quick fix name (IDEA-118416),github.com/JetBrains/intellij-community/pull/82/commits/fda75954dd1dce6f98b91bf96b56fdb2dc3647f5
2013-12-19T12:00:54Z,commit,IDEA-118420 Better wording for quickfix to 'Declaration can have fina¡­,github.com/JetBrains/intellij-community/pull/82/commits/ab1bebff33b7311d48b44c2a0e47f0c13521bf20
2013-12-19T16:13:06Z,commit,add assert: respect initializer in ForStatement,github.com/JetBrains/intellij-community/pull/82/commits/7c4a448e292bec457f7553cfa2b5ed310a8d9309
2013-12-19T16:34:27Z,commit,junit: reject to start when no tests were found in package,github.com/JetBrains/intellij-community/pull/82/commits/fa52498116208c0bec2688b16d13fe9df7e7a460
2013-12-19T17:04:22Z,commit,run manager: do not override shared status from default configuration¡­,github.com/JetBrains/intellij-community/pull/82/commits/d35fc051decbaf42a056c1bc72b729e582cb8b87
2013-12-19T17:38:00Z,commit,IDEA-118496 disable boolean param inspection for library overriders,github.com/JetBrains/intellij-community/pull/82/commits/58e433ad7bc50e9f65be46bae0d2df3378ea0b99
2013-12-20T08:33:07Z,commit,spy-js plugin initial commit,github.com/JetBrains/intellij-community/pull/82/commits/530c80088fb2d46fc229f1efb8cec464ff9468d5
2013-12-19T12:08:31Z,commit,IDEA-118371 Partial find occurences disappear with 'group by ...' button,github.com/JetBrains/intellij-community/pull/82/commits/53fe9df2533f8f45c6b5dd569ddbbf7e087e7519
2013-12-19T13:12:20Z,commit,notnull,github.com/JetBrains/intellij-community/pull/82/commits/520219514ceea9fc92deb289574c5bf94c6cd2f9
2013-12-19T13:13:09Z,commit,optimisation: do not load document to check for isReadOnly,github.com/JetBrains/intellij-community/pull/82/commits/11dad8cb724bb528182740e2fe44f020a7854fbc
2013-12-19T13:58:06Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/aa678f58088d01a9654087ea3b5df485f1404240
2013-12-19T15:07:07Z,commit,notnull,github.com/JetBrains/intellij-community/pull/82/commits/c0a94d5a9a8b91ccaa0d2b6451c743cd81492bd2
2013-12-19T15:08:50Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/c52f140d18da19165ebff07de44a1461846eb163
2013-12-20T09:52:57Z,commit,IDEA-118096 Documentation popup not usable because of Jetbrains annot¡­,github.com/JetBrains/intellij-community/pull/82/commits/32133c0ad1c71ecd68b2a9b961912ff30bdc20a9
2013-12-20T10:59:21Z,commit,"Show ""Split mode"" action for sliding toolwindows.",github.com/JetBrains/intellij-community/pull/82/commits/e03fa18deb9d4f3fcc30215bbce61a0b6d6c9d3b
2013-12-19T18:38:14Z,commit,Do not populate custom live template lookup with 'Edit live template,github.com/JetBrains/intellij-community/pull/82/commits/e647f6fe107f7b8d4eb8a2b713a7c9e5c827dd90
2013-12-19T18:39:51Z,commit,Postfix: rename 'Edit postfix templates settings' action,github.com/JetBrains/intellij-community/pull/82/commits/a71af7f7e114aab93b5e3d3a3004f0923121a7c3
