916,Array can be replaced with enum values inspection added
2018-11-13T15:51:56Z,discuss,Array can be replaced with enum values inspection suggests to replace the creation of array with EnumType.values()
2018-11-13T16:47:37Z,discuss,"Please add tests, e.g. new Enum[] {"""", Enum.A} will probably fail as well as new Enum[][] {{Enum.A}}."
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 64
      in
      1b327f6
"
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 72
      in
      1b327f6
"
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 76
      in
      1b327f6
"
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 76
      in
      1b327f6
"
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 112
      in
      1b327f6
"
2018-11-16T15:35:12Z,discuss,"
intellij-community/plugins/InspectionGadgets/src/com/siyeh/ig/style/ArrayCanBeReplacedWithEnumValuesInspection.java
"
2018-11-16T15:35:12Z,discuss,"
         Line 143
      in
      1b327f6
"
2018-12-17T13:55:33Z,discuss,Merged with small changes
2018-11-13T15:48:27Z,commit,Array can be replaced with enum values inspection added,github.com/JetBrains/intellij-community/pull/916/commits/e9d6f11c3951246742bff59154f636bb56ec1927
2018-11-14T18:34:48Z,commit,Tests for Array can be replaced with enum values inspection added.,github.com/JetBrains/intellij-community/pull/916/commits/9c923f6b01f011229fd3c2fd03bb1a7cfb7f4810
2018-11-15T09:39:32Z,commit,Tests for Array can be replaced with enum values insp added,github.com/JetBrains/intellij-community/pull/916/commits/3fc7c141ef1d061e0c882a5a764b8688c2227d8a
2018-11-15T13:58:22Z,commit,Tests and inspection updated,github.com/JetBrains/intellij-community/pull/916/commits/cb8e186d9f36192a1e7ebdf9c74dc337d22dc257
2018-11-15T17:58:28Z,commit,Array can be replaced with enum values inp bug fixed + tests added,github.com/JetBrains/intellij-community/pull/916/commits/1b327f6f6704288d31d9057e6f0a7ac71de7bcd4
2018-11-22T12:25:35Z,commit,Initialisation with foo return value added,github.com/JetBrains/intellij-community/pull/916/commits/02be569a32bbee2ecd13456f4df5b0c07cf0f4e7
2018-11-29T16:22:39Z,commit,Array can be replaced with enum values code cleaning,github.com/JetBrains/intellij-community/pull/916/commits/610e64829b4a20a7ef75cc4660429ab3ca05c200
2018-11-29T21:18:09Z,commit,Array can be replaced with enum values code cleanup,github.com/JetBrains/intellij-community/pull/916/commits/64484c5111283ebca38758307ac13cb1e42aae96
2018-11-30T10:22:00Z,commit,Array can be replaced with enum values: init with foo() deleted,github.com/JetBrains/intellij-community/pull/916/commits/9b842d3ab317c2fedbce53dc6a1abcf8613f571d
