997,183
2018-11-29T20:16:44Z,discuss,ok
2018-10-22T12:35:59Z,commit,IDEA-199878 Add keys: border for message sheet,github.com/JetBrains/intellij-community/pull/997/commits/4cf1e504d2c5396c92fa823ac834f29c2347e271
2018-11-08T10:54:16Z,commit,IDEA-200953 Add keys: breakpoint and refactoring balloons background ¡­,github.com/JetBrains/intellij-community/pull/997/commits/0a430434f285b695ae915d3385984e47b4a1096b
2018-11-13T15:59:12Z,commit,IDEA-197872 Select in... is broken in new Search Everywhere,github.com/JetBrains/intellij-community/pull/997/commits/2d9f294f888331126d3f967bb8bd289fa773e4f9
2018-11-13T17:03:45Z,commit,[^zolotov] IDEA-200585 Live Templates: Expand with = None is shown as¡­,github.com/JetBrains/intellij-community/pull/997/commits/80b9931f76c094c7603928939beda85fec33a267
2018-11-14T14:25:11Z,commit,backport mad testing fixes,github.com/JetBrains/intellij-community/pull/997/commits/5c983af87539357523d155430b519e6f4b14fa04
2018-11-09T11:01:57Z,commit,IDEA-CR-39729: [gui-test] fix Privacy Policy skip,github.com/JetBrains/intellij-community/pull/997/commits/67b4726b95eeaf04846c20440a0a40b78c52a2a8
2018-11-12T08:56:32Z,commit,IDEA-CR-39729: [gui-test] fix Privacy Policy skip,github.com/JetBrains/intellij-community/pull/997/commits/f03dbc99c319a1d9cc523cbe7be648b084f11102
2018-11-12T19:33:15Z,commit,IDEA-CR-39729: [gui-test] fix first start for the User Agreement,github.com/JetBrains/intellij-community/pull/997/commits/5149fd5e7037e65093cb2ada82037adc1e05d24a
2018-11-12T13:02:58Z,commit,"IDEA-CR-39841: RUBY-22998 YAML: "":"" is not added after autocompleted ¡­",github.com/JetBrains/intellij-community/pull/997/commits/5f8a656c738880409c64293644af4cfa69d51103
2018-11-13T15:02:17Z,commit,IDEA-CR-39809: RUBY-22575 Extended key sequence paste feature pattern,github.com/JetBrains/intellij-community/pull/997/commits/923067799191dc589f9f7db11b25a464fdcd517d
2018-11-13T09:16:13Z,commit,IDEA-201519 - Store cloud credentials in password safe (IDEA-CR-39753),github.com/JetBrains/intellij-community/pull/997/commits/4743f6b8d01133d592e1e7490f0697c5cc70a3d5
2018-11-13T15:33:06Z,commit,IDEA-CR-39813: fix JavaDoc as copyDirContent creates dereferenced fil¡­,github.com/JetBrains/intellij-community/pull/997/commits/1a6be4343a4750be8f8abee7542503db90e93101
2018-11-14T11:42:58Z,commit,IDEA-CR-39852: IDEA-199826 Switching from read-only file to editable ¡­,github.com/JetBrains/intellij-community/pull/997/commits/85648c7e0363799f149cbf67a431c803a436c31b
2018-11-14T16:03:35Z,commit,"IDEA-CR-39852 drop 'actionEnabled = false', it is not needed",github.com/JetBrains/intellij-community/pull/997/commits/351e99808dbf5bbe089a240923470e0f078359b2
2018-11-08T16:09:26Z,commit,SSR: hide scope panel in inspection settings,github.com/JetBrains/intellij-community/pull/997/commits/998c0ef2901d1452e3f11a82fa97eb29cd963025
2018-11-05T19:21:40Z,commit,SSR: allow scrolling in new dialog,github.com/JetBrains/intellij-community/pull/997/commits/b5e52df468a7dcde2a537ec3dc985126a5626837
2018-11-14T15:29:24Z,commit,"IDEA-202230 Setting or registry items aren't shown in ""Find Action"" d¡­",github.com/JetBrains/intellij-community/pull/997/commits/e0af5d379ba2bd63fd4efb940d42d99a36c58c44
2018-11-15T09:53:53Z,commit,Replace In Path: enable 'Replace All' button even if only one result ¡­,github.com/JetBrains/intellij-community/pull/997/commits/5033537b8465042e5b9acad96d214b5fa9262b8c
2018-11-14T14:55:01Z,commit,IDEA-CR-39871: Extending IDEA ActionButton API for implementing Split¡­,github.com/JetBrains/intellij-community/pull/997/commits/52c3bd98f70565237ebd93ab3e2d5d3ccd017fa3
2018-11-14T10:41:23Z,commit,IDEA-CR-39856: FUS: blacklist action and menu items we don't want to ¡­,github.com/JetBrains/intellij-community/pull/997/commits/c53ef4f4bae40b090a0b07a1ea482fbebb9284d9
